campaign,source,weighting,target,ceiling,half_split,n_masks,n_seeds,n_splits,gate_pass
A,campaign,plain,C1,0.9410990938322127,0.888750862663906,24,10,126,True
A,campaign,plain,C5,0.9201515812066131,0.8521118012422358,24,10,126,True
A,campaign,rollout,C1,0.9224482511164075,0.8560593512767425,24,10,126,True
A,campaign,rollout,C5,0.9600640181432584,0.9231953071083504,24,10,126,True
A,campaign,rollout_q75,C1,0.9436196155766896,0.8932574189095928,24,10,126,True
A,campaign,rollout_q75,C5,0.9421774791118379,0.8906763285024155,24,10,126,True
B,campaign,plain,C1,0.9576926811899136,0.9188198757763975,24,10,126,True
B,campaign,plain,C5,0.960041627043224,0.9231538992408558,24,10,126,True
B,campaign,rollout,C1,0.8874983684844948,0.7977501725327811,24,10,126,True
B,campaign,rollout,C5,0.9592162158279581,0.9216287094547962,24,10,126,True
B,campaign,rollout_q75,C1,0.9263604805814991,0.8628226363008971,24,10,126,True
B,campaign,rollout_q75,C5,0.9738868726210498,0.9491028295376122,24,10,126,True
I,campaign,plain,C1,0.9392930084109893,0.8855348516218081,24,10,126,True
I,campaign,plain,C5,0.9614689945815773,0.9257971014492752,24,10,126,True
I,campaign,rollout,C1,0.9600640181432584,0.9231953071083504,24,10,126,True
I,campaign,rollout,C5,0.9810234069260872,0.9627536231884056,24,10,126,True
I,campaign,rollout_q75,C1,0.9612828765797603,0.9254520358868183,24,10,126,True
I,campaign,rollout_q75,C5,0.966741778145412,0.9356245686680469,24,10,126,True
