variant,eta,k,target,estimator,lds,ceiling,ratio,p
A,1.0,10.0,C1,unlearn,0.3678260869565217,0.9505589414333672,0.38695768449862694,0.03849943540091518
A,1.0,10.0,C5,unlearn,0.32347826086956516,0.9380881188989534,0.344827158933892,0.06154763910963067
A,1.0,10.0,C2,unlearn,0.017391304347826087,0.927024325224925,0.018760353827399746,0.46785729835895856
A,1.0,50.0,C1,unlearn,0.4495652173913043,0.9505589414333672,0.4729482810538774,0.013760955884880535
A,1.0,50.0,C5,unlearn,0.21043478260869564,0.9380881188989534,0.2243230442526932,0.16182334348475097
A,1.0,50.0,C2,unlearn,-0.13565217391304346,0.927024325224925,-0.146330759853718,0.736310729047072
A,1.0,200.0,C1,unlearn,0.29739130434782607,0.9505589414333672,0.3128594044882516,0.07907713029769793
A,1.0,200.0,C5,unlearn,0.3834782608695652,0.9380881188989534,0.4087870351877591,0.03217069904610962
A,1.0,200.0,C2,unlearn,-0.20173913043478262,0.927024325224925,-0.21762010439783705,0.827753484296301
B,1.0,10.0,C1,unlearn,0.07739130434782608,0.9505589414333672,0.08141662865337541,0.35963357277166236
B,1.0,10.0,C5,unlearn,0.008695652173913044,0.9380881188989534,0.00926954728316914,0.48391649708513457
B,1.0,10.0,C2,unlearn,-0.2626086956521739,0.927024325224925,-0.2832813427937361,0.892463414950811
B,1.0,50.0,C1,unlearn,-0.13652173913043478,0.9505589414333672,-0.14362259211887574,0.7376451902760786
B,1.0,50.0,C5,unlearn,-0.003478260869565217,0.9380881188989534,-0.0037078189132676563,0.506434763267819
B,1.0,50.0,C2,unlearn,-0.09304347826086956,0.927024325224925,-0.10036789297658863,0.6672837273772849
B,1.0,200.0,C1,unlearn,-0.0017391304347826085,0.9505589414333672,-0.0018295871607500091,0.5032174789459702
B,1.0,200.0,C5,unlearn,0.049565217391304345,0.9380881188989534,0.0528364195140641,0.40904689480153544
B,1.0,200.0,C2,unlearn,-0.2417391304347826,0.927024325224925,-0.26076891820085646,0.8724467668911333
-,,,C1,GradDot_ALL_regenE5,0.4860869565217391,0.9505589414333672,0.5113696114296276,0.008013028675409472
-,,,C5,GradDot_ALL_regenE5,0.32434782608695645,0.9380881188989534,0.3457541136622089,0.06101661942694002
-,,,C2,GradDot_ALL_regenE5,0.23043478260869563,0.927024325224925,0.2485746882130466,0.13933922120249445
