draw,target,surrogate_lds,graddot_lds,paired_delta_rho,paired_p
G,C1,0.3739130434782608,0.44260869565217387,-0.06869565217391305,0.584
G,C5,0.528695652173913,0.3504347826086956,0.17826086956521742,0.2396
G,C2,0.2278260869565217,0.38869565217391305,-0.16086956521739135,0.7296
H,C1,0.5652173913043478,0.2713043478260869,0.29391304347826086,0.0902
H,C5,0.18,-0.18173913043478263,0.3617391304347826,0.1054
H,C2,0.17478260869565218,0.42,-0.2452173913043478,0.7614
I,C1,0.16173913043478258,-0.09652173913043478,0.2582608695652174,0.1132
I,C5,0.7069565217391304,0.4869565217391304,0.21999999999999997,0.1598
I,C2,0.20347826086956516,-0.23043478260869563,0.43391304347826076,0.0572
POOLED_GHI,C1,0.40951186571483705,0.2376037044182906,0.17190816129654646,0.1082
POOLED_GHI,C5,0.49424400282976405,0.2719145925783009,0.22232941025146313,0.0438
POOLED_GHI,C2,0.21059232104958525,0.1994340472056081,0.011158273843977162,0.4774
