phi,lambda_rel,target,estimator,lds,ceiling,ratio,p
cachedE20_full,,C1,GradDot,0.5930434782608696,0.9505589414333672,0.6238892218157532,0.0011281029205193718
cachedE20_full,,C5,GradDot,0.3904347826086956,0.9380881188989534,0.41620267301429437,0.02962875484969943
cachedE20_full,,C2,GradDot,0.29217391304347823,0.927024325224925,0.3151739443003157,0.08296621813284714
regenE5_head,,C1,GradDot,0.48086956521739127,0.9505589414333672,0.5058808499473776,0.008686620791301242
regenE5_head,,C5,GradDot,0.3878260869565217,0.9380881188989534,0.41342180882934365,0.03056315504004058
regenE5_head,,C2,GradDot,0.29739130434782607,0.927024325224925,0.3208020504485356,0.07907713029769793
cachedE20_full,1e-06,C1,TRAK,-0.23826086956521736,0.9505589414333672,-0.2506534410227513,0.8688912452391819
cachedE20_full,1e-06,C5,TRAK,0.10956521739130433,0.9380881188989534,0.11679629576793116,0.3051509892642315
cachedE20_full,1e-06,C2,TRAK,0.06173913043478261,0.927024325224925,0.06659925608726909,0.3872147877452896
cachedE20_full,0.0001,C1,TRAK,-0.25999999999999995,0.9505589414333672,-0.2735232805321264,0.8900840199150323
cachedE20_full,0.0001,C5,TRAK,0.11913043478260868,0.9380881188989534,0.12699279777941722,0.28963795100406253
cachedE20_full,0.0001,C2,TRAK,0.02260869565217391,0.927024325224925,0.024388459975619666,0.4582435215168909
cachedE20_full,0.01,C1,TRAK,-0.12608695652173912,0.9505589414333672,-0.13264506915437568,0.7214227961655157
cachedE20_full,0.01,C5,TRAK,0.09130434782608696,0.9380881188989534,0.09733024647327598,0.3356706347823206
cachedE20_full,0.01,C2,TRAK,-0.19826086956521738,0.927024325224925,-0.21386803363235707,0.823475282378798
cachedE20_full,0.1,C1,TRAK,-0.008695652173913044,0.9505589414333672,-0.009147935803750047,0.5160835029148654
cachedE20_full,0.1,C5,TRAK,0.11391304347826085,0.9380881188989534,0.12143106940951573,0.2980570253347067
cachedE20_full,0.1,C2,TRAK,-0.1469565217391304,0.927024325224925,-0.15852498984152782,0.753403438944667
cachedE20_full,1.0,C1,TRAK,0.0826086956521739,0.9505589414333672,0.08690539013562543,0.3505814922235917
cachedE20_full,1.0,C5,TRAK,0.39826086956521733,0.9380881188989534,0.4245452655691466,0.026957364228299398
cachedE20_full,1.0,C2,TRAK,-0.15043478260869564,0.927024325224925,-0.16227706060700778,0.7585491538381409
cachedE20_full,100.0,C1,TRAK,0.21826086956521737,0.9505589414333672,0.22961318867412617,0.1527771957922471
cachedE20_full,100.0,C5,TRAK,0.4878260869565217,0.9380881188989534,0.5200216025857888,0.00779822035532411
cachedE20_full,100.0,C2,TRAK,-0.05739130434782608,0.927024325224925,-0.06190916763041915,0.6050224293450798
regenE5_head,1e-06,C1,TRAK,-0.21304347826086956,0.9505589414333672,-0.22412442719187614,0.8412273737743545
regenE5_head,1e-06,C5,TRAK,-0.2208695652173913,0.9380881188989534,-0.23544650099249617,0.850167412884914
regenE5_head,1e-06,C2,TRAK,0.5104347826086956,0.927024325224925,0.5506163848341824,0.0054086092998764735
regenE5_head,0.0001,C1,TRAK,-0.18347826086956517,0.9505589414333672,-0.19302144545912595,0.8046066627268709
regenE5_head,0.0001,C5,TRAK,-0.1660869565217391,0.9380881188989534,-0.17704835310853057,0.7810165491958804
regenE5_head,0.0001,C2,TRAK,0.48173913043478256,0.927024325224925,0.5196618010189729,0.008571259336209837
regenE5_head,0.01,C1,TRAK,-0.29217391304347823,0.9505589414333672,-0.30737064300600153,0.9170337818671529
regenE5_head,0.01,C5,TRAK,0.16347826086956518,0.9380881188989534,0.17426748892357982,0.22264828352130367
regenE5_head,0.01,C2,TRAK,0.5904347826086956,0.927024325224925,0.6369140124402214,0.0011929276645076018
regenE5_head,0.1,C1,TRAK,-0.08608695652173912,0.9505589414333672,-0.09056456445712545,0.6554100370612111
regenE5_head,0.1,C5,TRAK,0.15739130434782608,0.9380881188989534,0.16777880582536145,0.23132454583183845
regenE5_head,0.1,C2,TRAK,0.6269565217391303,0.927024325224925,0.6763107554777607,0.0005216074048087401
regenE5_head,1.0,C1,TRAK,0.3208695652173913,0.9505589414333672,0.3375588311583767,0.06316081961538045
regenE5_head,1.0,C5,TRAK,0.31652173913043474,0.9380881188989534,0.33741152110735667,0.06591711227526298
regenE5_head,1.0,C2,TRAK,0.5495652173913043,0.927024325224925,0.5928271809458319,0.002703289914333427
regenE5_head,100.0,C1,TRAK,0.48,0.9505589414333672,0.5049660563670025,0.008803244046005168
regenE5_head,100.0,C5,TRAK,0.39739130434782605,0.9380881188989534,0.4236183108408297,0.027244602072135662
regenE5_head,100.0,C2,TRAK,0.2278260869565217,0.927024325224925,0.24576063513893662,0.1421537135035916
