group,estimator,target,n_params_frac,lds,ceiling,ratio,p,n,passed
ALL,GradDot_dmean,C1,,0.4834782608695652,0.9505589414333672,0.5086252306885026,0.008344281658814063,24,True
ALL,GradDot_dmean,C5,,0.37652173913043474,0.9380881188989534,0.40137139736122374,0.03487671002196547,24,False
ALL,trunc_k0,C1,,0.4834782608695652,0.9505589414333672,0.5086252306885026,0.008344281658814063,24,True
ALL,trunc_k0,C5,,0.37652173913043474,0.9380881188989534,0.40137139736122374,0.03487671002196547,24,False
ALL,trunc_k1,C1,,0.3417391304347826,0.9505589414333672,0.3595138770873768,0.05108336060409125,24,False
ALL,trunc_k1,C5,,0.32521739130434785,0.9380881188989534,0.34668106839052587,0.0604889367718617,24,False
ALL,trunc_k2,C1,,0.12347826086956522,0.9505589414333672,0.12990068841325067,0.2827024975710983,24,False
ALL,trunc_k2,C5,,0.42956521739130427,0.9380881188989534,0.4579156357885555,0.018089837667645593,24,False
ALL,trunc_k5,C1,,0.0017391304347826085,0.9505589414333672,0.0018295871607500091,0.4967825210540297,24,False
ALL,trunc_k5,C5,,-0.2869565217391304,0.9380881188989534,-0.3058950603445816,0.9130128790481677,24,False
ALL,trunc_k10,C1,,-0.054782608695652164,0.9505589414333672,-0.057631995563625284,0.6003458782558679,24,False
ALL,trunc_k10,C5,,-0.020869565217391303,0.9380881188989534,-0.022246913479605935,0.53855414843919,24,False
ALL,trunc_k20,C1,,-0.025217391304347827,0.9505589414333672,-0.026529013830875137,0.5465551913005124,24,False
ALL,trunc_k20,C5,,0.5365217391304348,0.9380881188989534,0.571931067371536,0.003437265296666415,24,True
ALL,trunc_k135,C1,,-0.4130434782608695,0.9505589414333672,-0.4345269506781272,0.9775754230500912,24,False
ALL,trunc_k135,C5,,0.48521739130434777,0.9380881188989534,0.517240738400838,0.008122231090201494,24,True
embed,GradDot_dmean,C1,,0.26347826086956516,0.9505589414333672,0.27718245485362636,0.10675118329261908,24,False
embed,GradDot_dmean,C5,,0.4547826086956522,0.9380881188989534,0.4847973229097461,0.01278078985201723,24,False
embed,trunc_k0,C1,,0.26347826086956516,0.9505589414333672,0.27718245485362636,0.10675118329261908,24,False
embed,trunc_k0,C5,,0.4547826086956522,0.9380881188989534,0.4847973229097461,0.01278078985201723,24,False
embed,trunc_k1,C1,,0.25217391304347825,0.9505589414333672,0.26529013830875137,0.11726378546080976,24,False
embed,trunc_k1,C5,,0.4260869565217391,0.9380881188989534,0.4542078168752879,0.018942152406185592,24,False
embed,trunc_k2,C1,,0.2617391304347826,0.9505589414333672,0.27535286769287637,0.10832584897664314,24,False
embed,trunc_k2,C5,,0.39826086956521733,0.9380881188989534,0.4245452655691466,0.026957364228299398,24,False
embed,trunc_k5,C1,,0.20608695652173914,0.9505589414333672,0.21680607854887612,0.16698616357150645,24,False
embed,trunc_k5,C5,,0.40956521739130425,0.9380881188989534,0.4365956770372664,0.023433084632456577,24,False
embed,trunc_k10,C1,,0.15391304347826085,0.9505589414333672,0.1619184637263758,0.23635993344880765,24,False
embed,trunc_k10,C5,,0.36173913043478256,0.9380881188989534,0.3856131669798362,0.04120012080471129,24,False
embed,trunc_k20,C1,,0.01217391304347826,0.9505589414333672,0.012807110125250066,0.4774885423248923,24,False
embed,trunc_k20,C5,,0.18347826086956517,0.9380881188989534,0.19558744767486883,0.1953933372731292,24,False
embed,trunc_k135,C1,,-0.08434782608695651,0.9505589414333672,-0.08873497729637544,0.652418698432075,24,False
embed,trunc_k135,C5,,0.2582608695652174,0.9380881188989534,0.2753055543101235,0.1115216090658968,24,False
block_00,GradDot_dmean,C1,,0.04,0.9505589414333672,0.042080504697250214,0.42639021971699514,24,False
block_00,GradDot_dmean,C5,,0.5243478260869565,0.9380881188989534,0.5589537011750992,0.004265544430594882,24,True
block_00,trunc_k0,C1,,0.04,0.9505589414333672,0.042080504697250214,0.42639021971699514,24,False
block_00,trunc_k0,C5,,0.5243478260869565,0.9380881188989534,0.5589537011750992,0.004265544430594882,24,True
block_00,trunc_k1,C1,,-0.08695652173913042,0.9505589414333672,-0.09147935803750046,0.6569023373507357,24,False
block_00,trunc_k1,C5,,0.47391304347826085,0.9380881188989534,0.5051903269327181,0.009655790005041253,24,True
block_00,trunc_k2,C1,,-0.07217391304347825,0.9505589414333672,-0.07592786717112539,0.6312405079523709,24,False
block_00,trunc_k2,C5,,0.4408695652173913,0.9380881188989534,0.46996604725667546,0.015527677013760245,24,False
block_00,trunc_k5,C1,,-0.17739130434782607,0.9505589414333672,-0.18661789039650095,0.7965187243014216,24,False
block_00,trunc_k5,C5,,0.46347826086956523,0.9380881188989534,0.49406687019291523,0.011272486426091563,24,False
