source,weighting,target,ceiling,half_split,n_masks,n_seeds,n_splits,gate_pass
campaign,plain,C1,0.9392930084109893,0.8855348516218081,24,10,126,True
campaign,plain,C5,0.9614689945815773,0.9257971014492752,24,10,126,True
campaign,transport,C1,0.9054361825481657,0.8272118702553485,24,10,126,True
campaign,transport,C5,0.9222839547493139,0.8557763975155279,24,10,126,True
campaign,interaction,C1,0.9612158577675819,0.925327812284334,24,10,126,True
campaign,interaction,C5,0.9604706219958389,0.9239475500345063,24,10,126,True
campaign,ens_var,C1,0.947490756949539,0.9002208419599723,24,10,126,True
campaign,ens_var,C5,0.9043809639027931,0.8254520358868185,24,10,126,True
campaign,ens_var_q75,C1,0.9374067297573782,0.8821877156659765,24,10,126,True
campaign,ens_var_q75,C5,0.9299125984513641,0.869006211180124,24,10,126,True
campaign,fail_div,C1,0.9799007356823541,0.9605935127674257,24,10,126,True
campaign,fail_div,C5,0.8851873793055693,0.7940234644582469,24,10,126,True
campaign,fail_div_q75,C1,0.9473340089574683,0.8999378881987576,24,10,126,True
campaign,fail_div_q75,C5,0.8934581152132325,0.8074327122153208,24,10,126,True
