weighting,estimator,target,obs_source,lds,ceiling,ratio,p,n,passed
plain,GradDot_dmean,C1,campaign,0.44695652173913036,0.9410990938322127,0.474930349703235,0.014273142291222188,24,False
plain,GradDot_dmean,C5,campaign,0.34434782608695647,0.9201515812066131,0.3742294564504321,0.04970335049650835,24,False
plain,trunc_k0,C1,campaign,0.44695652173913036,0.9410990938322127,0.474930349703235,0.014273142291222188,24,False
plain,trunc_k0,C5,campaign,0.34434782608695647,0.9201515812066131,0.3742294564504321,0.04970335049650835,24,False
plain,trunc_k1,C1,campaign,0.28521739130434776,0.9410990938322127,0.30306839436315386,0.08835698452439676,24,False
plain,trunc_k1,C5,campaign,0.2452173913043478,0.9201515812066131,0.2664967341389441,0.12406064953775087,24,False
plain,trunc_k2,C1,campaign,0.06,0.9410990938322127,0.06375524149712689,0.39031504777820597,24,False
plain,trunc_k2,C5,campaign,0.35478260869565215,0.9201515812066131,0.38556974300953617,0.04445871553657303,24,False
plain,trunc_k5,C1,campaign,0.013043478260869565,0.9410990938322127,0.013859835108071062,0.4758823434001502,24,False
plain,trunc_k5,C5,campaign,-0.3408695652173913,0.9201515812066131,-0.37044936093073083,0.9484503969443874,24,False
plain,trunc_k10,C1,campaign,-0.08086956521739129,0.9410990938322127,-0.08593097767004057,0.6464096247658809,24,False
plain,trunc_k10,C5,campaign,0.01217391304347826,0.9201515812066131,0.013230334318954673,0.4774885423248923,24,False
transport,GradDot_dmean,C1,campaign,-0.21652173913043476,0.92933144174499,-0.23298656367837456,0.8452400512188498,24,False
transport,GradDot_dmean,C5,campaign,-0.44695652173913036,0.9119375246390958,-0.49011748026929347,0.9857268577087778,24,False
transport,trunc_k0,C1,campaign,-0.21652173913043476,0.92933144174499,-0.23298656367837456,0.8452400512188498,24,False
transport,trunc_k0,C5,campaign,-0.44695652173913036,0.9119375246390958,-0.49011748026929347,0.9857268577087778,24,False
transport,trunc_k1,C1,campaign,0.005217391304347826,0.92933144174499,0.005614134064539146,0.4903483416267896,24,False
transport,trunc_k1,C5,campaign,-0.29565217391304344,0.9119375246390958,-0.3242022243026455,0.9196410533188785,24,False
transport,trunc_k2,C1,campaign,0.17043478260869566,0.92933144174499,0.18339504610827878,0.21294776815372396,24,False
transport,trunc_k2,C5,campaign,-0.1434782608695652,0.9119375246390958,-0.15733343238216618,0.7482036768912318,24,False
transport,trunc_k5,C1,campaign,0.20869565217391303,0.92933144174499,0.22456536258156584,0.16387674188352389,24,False
transport,trunc_k5,C5,campaign,-0.25565217391304346,0.9119375246390958,-0.2803395704264052,0.8860408220724741,24,False
transport,trunc_k10,C1,campaign,-0.23217391304347823,0.92933144174499,-0.249828965871992,0.8625173794084112,24,False
transport,trunc_k10,C5,campaign,-0.04869565217391304,0.9119375246390958,-0.05339801341455338,0.5893827634988733,24,False
interaction,GradDot_dmean,C1,campaign,0.5060869565217391,0.9615769124650185,0.5263093882156308,0.005813764141680733,24,True
interaction,GradDot_dmean,C5,campaign,0.4530434782608695,0.9234569735693455,0.4905951129588269,0.013101068152129266,24,False
interaction,trunc_k0,C1,campaign,0.5060869565217391,0.9615769124650185,0.5263093882156308,0.005813764141680733,24,True
interaction,trunc_k0,C5,campaign,0.4530434782608695,0.9234569735693455,0.4905951129588269,0.013101068152129266,24,False
