group,cell,step,target,lds,ratio,p
ALL,single_ckpt_0,1600.0,C1,0.1695652173913043,0.17838474817312588,0.2141476252017946
ALL,single_ckpt_0,1600.0,C5,0.11304347826086956,0.12050411468119883,0.29947021745279834
ALL,single_ckpt_1,3200.0,C1,0.5156521739130434,0.5424725931623777,0.00495348513267947
ALL,single_ckpt_1,3200.0,C5,0.1060869565217391,0.1130884768546635,0.31087575443355925
ALL,single_ckpt_2,4800.0,C1,0.41478260869565214,0.43635653783887723,0.021933249240352885
ALL,single_ckpt_2,4800.0,C5,0.13391304347826086,0.14275102816080476,0.26636781298500556
ALL,single_ckpt_3,6400.0,C1,0.5678260869565217,0.597360207984878,0.001899836661251779
ALL,single_ckpt_3,6400.0,C5,0.20434782608695648,0.21783436115447477,0.169078624256588
ALL,single_ckpt_4,8000.0,C1,0.4834782608695652,0.5086252306885026,0.008344281658814063
ALL,single_ckpt_4,8000.0,C5,0.37652173913043474,0.40137139736122374,0.03487671002196547
ALL,last5_lr,,C1,0.5643478260869564,0.593701033663378,0.0020349767227146277
ALL,last5_lr,,C5,0.1217391304347826,0.12977366196436796,0.28546776134445834
ALL,last5_unweighted,,C1,0.5304347826086956,0.5580240840287528,0.003832812839974303
ALL,last5_unweighted,,C5,0.18956521739130433,0.20207613077308725,0.1874901955719575
head,single_ckpt_0,1600.0,C1,0.20434782608695648,0.21497649138812605,0.169078624256588
head,single_ckpt_0,1600.0,C5,0.12608695652173912,0.13440843560595253,0.27857720383448425
head,single_ckpt_1,3200.0,C1,0.5226086956521738,0.5497909418053777,0.004396377829827393
head,single_ckpt_1,3200.0,C5,0.09739130434782609,0.10381892957149438,0.3253728234944581
head,single_ckpt_2,4800.0,C1,0.41478260869565214,0.43635653783887723,0.021933249240352885
head,single_ckpt_2,4800.0,C5,0.1226086956521739,0.13070061669268487,0.28408363285102545
head,single_ckpt_3,6400.0,C1,0.568695652173913,0.598275001565253,0.0018672612167956882
head,single_ckpt_3,6400.0,C5,0.20347826086956516,0.21690740642615786,0.17013069831994326
head,single_ckpt_4,8000.0,C1,0.48086956521739127,0.5058808499473776,0.008686620791301242
head,single_ckpt_4,8000.0,C5,0.3878260869565217,0.41342180882934365,0.03056315504004058
head,last5_lr,,C1,0.5721739130434782,0.601934175886753,0.0017416321628604475
head,last5_lr,,C5,0.11913043478260868,0.12699279777941722,0.28963795100406253
head,last5_unweighted,,C1,0.5252173913043477,0.5525353225465027,0.004201350368125826
head,last5_unweighted,,C5,0.18,0.19187962876160122,0.19999253772530756
