kind,group,draw,k_star,per_member,n_params
architectural,ALL,0,1,"[1, 1, 1, 1, 2]",
architectural,head,0,1,"[1, 1, 1, 1, 2]",
architectural,embed,0,9,"[9, 10, 2, 7, 10]",
architectural,block_00,0,6,"[4, 5, 11, 6, 6]",
architectural,last_block,0,1,"[1, 1, 2, 1, 2]",
random,random_1000,0,1,"[1, 1, 2, 1, 2]",1000.0
random,random_1000,1,1,"[1, 1, 2, 1, 2]",1000.0
random,random_1000,2,1,"[1, 1, 2, 1, 2]",1000.0
random,random_3000,0,1,"[1, 1, 2, 1, 1]",3000.0
random,random_3000,1,1,"[1, 1, 1, 1, 2]",3000.0
random,random_3000,2,1,"[2, 1, 1, 1, 1]",3000.0
random,random_10000,0,1,"[2, 1, 2, 1, 1]",10000.0
random,random_10000,1,3,"[3, 4, 2, 1, 4]",10000.0
random,random_10000,2,2,"[2, 2, 2, 1, 1]",10000.0
random,random_30000,0,1,"[2, 1, 1, 1, 1]",30000.0
random,random_30000,1,2,"[1, 1, 2, 2, 2]",30000.0
random,random_30000,2,2,"[3, 1, 2, 1, 2]",30000.0
random,random_100000,0,1,"[1, 1, 1, 2, 1]",100000.0
random,random_100000,1,2,"[2, 2, 1, 1, 2]",100000.0
random,random_100000,2,1,"[1, 1, 2, 1, 2]",100000.0
random,random_300000,0,1,"[1, 1, 1, 1, 2]",300000.0
random,random_300000,1,1,"[1, 1, 1, 1, 2]",300000.0
random,random_300000,2,1,"[1, 1, 1, 1, 2]",300000.0
random,random_1000000,0,1,"[1, 1, 1, 1, 1]",1000000.0
random,random_1000000,1,1,"[1, 1, 1, 1, 2]",1000000.0
random,random_1000000,2,1,"[1, 1, 1, 1, 2]",1000000.0
random,random_3000000,0,1,"[1, 1, 2, 1, 2]",3000000.0
random,random_3000000,1,1,"[1, 1, 1, 1, 2]",3000000.0
random,random_3000000,2,1,"[1, 1, 1, 1, 2]",3000000.0
random,random_10000000,0,1,"[1, 1, 1, 1, 2]",10000000.0
random,random_10000000,1,1,"[1, 1, 1, 1, 2]",10000000.0
random,random_10000000,2,1,"[1, 1, 1, 1, 2]",10000000.0
random,random_19222091,0,1,"[1, 1, 1, 1, 2]",19222091.0
