width,draw,frac_of_model,k_star,k_star_min,k_star_max,target,lds_k0,ratio_k0,lds_best,ratio_best,best_k,ceiling,gain_from_inverting
1000,0,5.2023476530206835e-05,1,1,2,C1,0.3660869565217391,0.38512809733787695,0.3660869565217391,0.38512809733787695,0,0.9505589414333672,0.0
1000,0,5.2023476530206835e-05,1,1,2,C5,0.18869565217391301,0.20114917604477034,0.48521739130434777,0.517240738400838,50,0.9380881188989534,0.2965217391304348
1000,1,5.2023476530206835e-05,1,1,2,C1,0.1026086956521739,0.10794564248425054,0.16086956521739126,0.16923681236937582,50,0.9505589414333672,0.058260869565217366
1000,1,5.2023476530206835e-05,1,1,2,C5,-0.32521739130434785,-0.34668106839052587,0.32956521739130434,0.3513158420321104,5,0.9380881188989534,0.6547826086956522
1000,2,5.2023476530206835e-05,1,1,2,C1,-0.0008695652173913043,-0.0009147935803750046,0.2826086956521739,0.29730791362187653,50,0.9505589414333672,0.2834782608695652
1000,2,5.2023476530206835e-05,1,1,2,C5,-0.4121739130434783,-0.4393765412222173,0.31304347826086953,0.33370370219408907,50,0.9380881188989534,0.7252173913043478
3000,0,0.0001560704295906205,1,1,2,C1,0.3478260869565217,0.36591743215000183,0.4139130434782608,0.4354417442585022,1,0.9505589414333672,0.06608695652173913
3000,0,0.0001560704295906205,1,1,2,C5,-0.2626086956521739,-0.27994032795170803,0.2678260869565217,0.2855020563216095,50,0.9380881188989534,0.5304347826086956
3000,1,0.0001560704295906205,1,1,2,C1,-0.0626086956521739,-0.06586513778700033,0.35478260869565215,0.3732357807930019,135,0.9505589414333672,0.41739130434782606
3000,1,0.0001560704295906205,1,1,2,C5,0.15565217391304348,0.16592489636872762,0.4026086956521739,0.4291800392107312,2,0.9380881188989534,0.2469565217391304
3000,2,0.0001560704295906205,1,1,2,C1,0.3913043478260869,0.4116571111687521,0.3913043478260869,0.4116571111687521,0,0.9505589414333672,0.0
3000,2,0.0001560704295906205,1,1,2,C5,0.11130434782608695,0.118650205224565,0.1408695652173913,0.15016666598734008,50,0.9380881188989534,0.029565217391304355
10000,0,0.0005202347653020683,1,1,2,C1,0.2026086956521739,0.2131469042273761,0.2756521739130435,0.28998956497887646,1,0.9505589414333672,0.07304347826086957
10000,0,0.0005202347653020683,1,1,2,C5,0.3139130434782608,0.33463065692240596,0.6095652173913042,0.6497952645501567,20,0.9380881188989534,0.2956521739130434
10000,1,0.0005202347653020683,3,1,4,C1,-0.13304347826086957,-0.13996341779737573,-0.10521739130434782,-0.11069002322537556,3,0.9505589414333672,0.02782608695652175
10000,1,0.0005202347653020683,3,1,4,C5,0.39652173913043476,0.4226913561125128,0.4121739130434783,0.4393765412222173,1,0.9380881188989534,0.01565217391304352
10000,2,0.0005202347653020683,2,1,2,C1,0.2756521739130435,0.28998956497887646,0.45739130434782604,0.48118142327725244,5,0.9505589414333672,0.18173913043478257
10000,2,0.0005202347653020683,2,1,2,C5,0.19826086956521738,0.2113456780562564,0.25652173913043474,0.2734516448534896,5,0.9380881188989534,0.058260869565217366
30000,0,0.001560704295906205,1,1,2,C1,0.5217391304347825,0.5488761482250026,0.5217391304347825,0.5488761482250026,0,0.9505589414333672,0.0
30000,0,0.001560704295906205,1,1,2,C5,0.33739130434782605,0.3596584345869626,0.34347826086956523,0.3661471176851811,135,0.9380881188989534,0.006086956521739184
30000,1,0.001560704295906205,2,1,2,C1,0.6478260869565217,0.6815212173793784,0.6478260869565217,0.6815212173793784,0,0.9505589414333672,0.0
30000,1,0.001560704295906205,2,1,2,C5,-0.0017391304347826085,-0.0018539094566338281,0.6669565217391304,0.7109742766190731,2,0.9380881188989534,0.668695652173913
30000,2,0.001560704295906205,2,1,3,C1,-0.20347826086956516,-0.21406169780775106,0.23478260869565212,0.2469942667012512,50,0.9505589414333672,0.43826086956521726
30000,2,0.001560704295906205,2,1,3,C5,0.15826086956521737,0.16870576055367834,0.6139130434782608,0.6544300381917413,10,0.9380881188989534,0.45565217391304347
100000,0,0.005202347653020683,1,1,2,C1,0.5391304347826086,0.5671720198325028,0.5391304347826086,0.5671720198325028,0,0.9505589414333672,0.0
100000,0,0.005202347653020683,1,1,2,C5,0.09304347826086956,0.0991841559299098,0.32608695652173914,0.3476080231188428,20,0.9380881188989534,0.23304347826086957
100000,1,0.005202347653020683,2,1,2,C1,0.3208695652173913,0.3375588311583767,0.3208695652173913,0.3375588311583767,0,0.9505589414333672,0.0
100000,1,0.005202347653020683,2,1,2,C5,0.0017391304347826085,0.0018539094566338281,0.5121739130434783,0.5459763349786624,50,0.9380881188989534,0.5104347826086957
100000,2,0.005202347653020683,1,1,2,C1,0.44260869565217387,0.46562993241087736,0.5808695652173912,0.611082111690503,1,0.9505589414333672,0.13826086956521733
100000,2,0.005202347653020683,1,1,2,C5,0.18,0.19187962876160122,0.6939130434782607,0.7397098731968972,50,0.9380881188989534,0.5139130434782606
300000,0,0.01560704295906205,1,1,2,C1,0.5052173913043477,0.5314950701978777,0.5052173913043477,0.5314950701978777,0,0.9505589414333672,0.0
300000,0,0.01560704295906205,1,1,2,C5,0.4156521739130434,0.44308436013548486,0.4156521739130434,0.44308436013548486,0,0.9380881188989534,0.0
300000,1,0.01560704295906205,1,1,2,C1,0.3408695652173913,0.35859908350700187,0.3408695652173913,0.35859908350700187,0,0.9505589414333672,0.0
300000,1,0.01560704295906205,1,1,2,C5,0.3643478260869565,0.388394031164787,0.4017391304347826,0.4282530844824143,3,0.9380881188989534,0.037391304347826115
300000,2,0.01560704295906205,1,1,2,C1,0.46347826086956523,0.4875849783398775,0.46347826086956523,0.4875849783398775,0,0.9505589414333672,0.0
300000,2,0.01560704295906205,1,1,2,C5,0.37304347826086953,0.39766357844795613,0.537391304347826,0.5728580220998528,2,0.9380881188989534,0.16434782608695647
1000000,0,0.052023476530206836,1,1,1,C1,0.49217391304347824,0.5177731664922527,0.49217391304347824,0.5177731664922527,0,0.9505589414333672,0.0
1000000,0,0.052023476530206836,1,1,1,C5,0.36260869565217385,0.3865401217081531,0.6339130434782608,0.6757499969430303,135,0.9380881188989534,0.271304347826087
1000000,1,0.052023476530206836,1,1,2,C1,0.4991304347826086,0.5250915151352525,0.4991304347826086,0.5250915151352525,0,0.9505589414333672,0.0
1000000,1,0.052023476530206836,1,1,2,C5,0.37130434782608696,0.3958096689913223,0.37130434782608696,0.3958096689913223,0,0.9380881188989534,0.0
1000000,2,0.052023476530206836,1,1,2,C1,0.5260869565217391,0.5534501161268778,0.5260869565217391,0.5534501161268778,0,0.9505589414333672,0.0
1000000,2,0.052023476530206836,1,1,2,C5,0.3817391304347826,0.4069331257311253,0.3817391304347826,0.4069331257311253,0,0.9380881188989534,0.0
3000000,0,0.1560704295906205,1,1,2,C1,0.4869565217391304,0.5122844050100026,0.4869565217391304,0.5122844050100026,0,0.9505589414333672,0.0
3000000,0,0.1560704295906205,1,1,2,C5,0.35130434782608694,0.3744897102400333,0.4408695652173913,0.46996604725667546,2,0.9380881188989534,0.08956521739130435
3000000,1,0.1560704295906205,1,1,2,C1,0.49304347826086947,0.5186879600726275,0.49304347826086947,0.5186879600726275,0,0.9505589414333672,0.0
3000000,1,0.1560704295906205,1,1,2,C5,0.3808695652173913,0.4060061710028084,0.58,0.6182788037873816,20,0.9380881188989534,0.19913043478260867
3000000,2,0.1560704295906205,1,1,2,C1,0.4878260869565217,0.5131991985903775,0.4878260869565217,0.5131991985903775,0,0.9505589414333672,0.0
3000000,2,0.1560704295906205,1,1,2,C5,0.33826086956521734,0.3605853893152795,0.5982608695652173,0.6377448530820368,135,0.9380881188989534,0.25999999999999995
10000000,0,0.5202347653020684,1,1,2,C1,0.4904347826086956,0.5159435793315026,0.4904347826086956,0.5159435793315026,0,0.9505589414333672,0.0
10000000,0,0.5202347653020684,1,1,2,C5,0.36173913043478256,0.3856131669798362,0.5643478260869564,0.6015936186776771,20,0.9380881188989534,0.20260869565217388
10000000,1,0.5202347653020684,1,1,2,C1,0.47913043478260864,0.5040512627866275,0.47913043478260864,0.5040512627866275,0,0.9505589414333672,0.0
10000000,1,0.5202347653020684,1,1,2,C5,0.3834782608695652,0.4087870351877591,0.5521739130434782,0.5886162524812404,20,0.9380881188989534,0.16869565217391297
10000000,2,0.5202347653020684,1,1,2,C1,0.48173913043478256,0.5067956435277525,0.48173913043478256,0.5067956435277525,0,0.9505589414333672,0.0
10000000,2,0.5202347653020684,1,1,2,C5,0.37652173913043474,0.40137139736122374,0.5243478260869565,0.5589537011750992,20,0.9380881188989534,0.14782608695652177
19222091,0,1.0,1,1,2,C1,0.4834782608695652,0.5086252306885026,0.4834782608695652,0.5086252306885026,0,0.9505589414333672,0.0
19222091,0,1.0,1,1,2,C5,0.37652173913043474,0.40137139736122374,0.5365217391304348,0.571931067371536,20,0.9380881188989534,0.16000000000000003
