group,density,n_ckpt,lr_weighted,estimator,target,lds,ceiling,ratio,p,n,passed
ALL,last1,1,False,TracIn,C1,0.4278260869565217,0.82979067062928,0.515583148979098,0.018512113969280215,24,True
ALL,last1,1,False,TracIn,C5,0.18608695652173912,0.8444377100886411,0.22036789013390398,0.19198351698587418,24,False
ALL,last1,1,False,TracIn_trunc_k1,C1,-0.12608695652173912,0.82979067062928,-0.15195031829668537,0.7214227961655157,24,False
ALL,last1,1,False,TracIn_trunc_k1,C5,-0.08608695652173912,0.8444377100886411,-0.1019458930993294,0.6554100370612111,24,False
ALL,last1,1,False,TracIn_trunc_k5,C1,-0.04869565217391304,0.82979067062928,-0.05868426085940953,0.5893827634988733,24,False
ALL,last1,1,False,TracIn_trunc_k5,C5,-0.07913043478260869,0.8444377100886411,-0.09370784113170683,0.6433922104491943,24,False
ALL,last2,2,True,TracIn,C1,0.4252173913043478,0.82979067062928,0.5124393492902011,0.019160112364384793,24,True
ALL,last2,2,True,TracIn,C5,0.18608695652173912,0.8444377100886411,0.22036789013390398,0.19198351698587418,24,False
ALL,last2,2,True,TracIn_trunc_k1,C1,-0.33999999999999997,0.82979067062928,-0.40974189278623435,0.9479810166509028,24,False
ALL,last2,2,True,TracIn_trunc_k1,C5,-0.12347826086956522,0.8444377100886411,-0.1462254224253008,0.7172975024289017,24,False
ALL,last2,2,True,TracIn_trunc_k5,C1,-0.21565217391304345,0.82979067062928,-0.2598874409488136,0.8442427754357446,24,False
ALL,last2,2,True,TracIn_trunc_k5,C5,0.06,0.8444377100886411,0.07105319822074474,0.39031504777820597,24,False
ALL,last2,2,False,TracIn,C1,0.42,0.82979067062928,0.5061517499124072,0.020509800007056437,24,True
ALL,last2,2,False,TracIn,C5,0.18608695652173912,0.8444377100886411,0.22036789013390398,0.19198351698587418,24,False
ALL,last2,2,False,TracIn_trunc_k1,C1,-0.3095652173913043,0.82979067062928,-0.3730642297491034,0.9294942664434477,24,False
ALL,last2,2,False,TracIn_trunc_k1,C5,-0.09826086956521737,0.8444377100886411,-0.11636248404266891,0.6760884381433175,24,False
ALL,last2,2,False,TracIn_trunc_k5,C1,-0.21913043478260866,0.82979067062928,-0.26407917386734286,0.8482082780413848,24,False
ALL,last2,2,False,TracIn_trunc_k5,C5,-0.10782608695652172,0.8444377100886411,-0.12768980549814996,0.6919920589092172,24,False
ALL,last3,3,True,TracIn,C1,0.43304347826086953,0.82979067062928,0.5218707483568918,0.017268189632039223,24,True
ALL,last3,3,True,TracIn,C5,0.15739130434782608,0.8444377100886411,0.18638592576746085,0.23132454583183845,24,False
ALL,last3,3,True,TracIn_trunc_k1,C1,-0.13826086956521738,0.82979067062928,-0.16662138351153777,0.740304425270427,24,False
ALL,last3,3,True,TracIn_trunc_k1,C5,-0.24260869565217388,0.8444377100886411,-0.2873020623708374,0.8733258090137694,24,False
ALL,last3,3,True,TracIn_trunc_k5,C1,0.006956521739130434,0.82979067062928,0.008383465837058504,0.4871320302666262,24,False
ALL,last3,3,True,TracIn_trunc_k5,C5,0.14869565217391303,0.8444377100886411,0.1760883608079326,0.24401689977536237,24,False
