subspace,params,role,depth,k_star,C1_ratio_k0,C1_ratio_best,C1_gain,C5_ratio_k0,C5_ratio_best,C5_gain
block_00,3152384,block,0,6,0.042080504697250214,0.042080504697250214,0.0,0.5589537011750992,0.5589537011750992,0.0
block_01,3152384,block,1,5,-0.07226869284962537,-0.07226869284962537,0.0,0.6915082273244177,0.7573220130349186,0.06581378571050092
block_02,3152384,block,2,1,0.22503922077225114,0.22503922077225114,0.0,0.39117489534973765,0.39117489534973765,0.0
block_03,3152384,block,3,1,0.4034239689453771,0.4034239689453771,0.0,0.39302880480637153,0.5292911498689579,0.1362623450625864
block_04,3152384,block,4,1,0.44367488648187725,0.44367488648187725,0.0,0.38468621225151933,0.495920779649549,0.1112345673980297
block_05,3152384,block,5,1,0.47020390031275233,0.47020390031275233,0.0,0.398590533176273,0.4885051418230137,0.08991460864674065
blk00_attn,1050624,attn,0,8,0.09513853235900048,0.09513853235900048,0.0,0.4847973229097461,0.5478302444352962,0.06303292152555011
blk00_mlp,2099712,mlp,0,7,-0.16374805088712585,-0.16374805088712585,0.0,0.6136440301457972,0.646087445636889,0.03244341549109193
blk01_attn,1050624,attn,1,5,-0.19302144545912595,-0.19302144545912595,0.0,0.6905812725961009,0.7628837414048202,0.07230246880871927
blk01_mlp,2099712,mlp,1,5,0.12807110125250065,0.12807110125250065,0.0,0.5153868289442042,0.7100473218907561,0.19466049294655197
blk02_attn,1050624,attn,2,2,0.09422373877862547,0.13996341779737573,0.04573967901875025,0.41064094464439294,0.41064094464439294,0.0
blk02_mlp,2099712,mlp,2,1,0.4747778682146274,0.4747778682146274,0.0,0.33370370219408907,0.41342180882934365,0.07971810663525461
blk03_attn,1050624,attn,3,1,0.3796393358556269,0.3796393358556269,0.0,0.3967366237196392,0.5941779808511418,0.19744135713150265
blk03_mlp,2099712,mlp,3,1,0.4564819966071273,0.47203348747350243,0.015551490866375141,0.3754166649683502,0.592324071394508,0.2169074064261579
blk04_attn,1050624,attn,4,1,0.44550447364262724,0.44550447364262724,0.0,0.40137139736122374,0.5126059647592535,0.1112345673980297
blk04_mlp,2099712,mlp,4,1,0.5241767215548776,0.5241767215548776,0.0,0.3726358007833995,0.4931399154645983,0.12050411468119879
blk05_attn,1050624,attn,5,1,0.48026662969687745,0.48026662969687745,0.0,0.4022983520895407,0.4773816850832107,0.07508333299367007
blk05_mlp,2099712,mlp,5,1,0.48026662969687745,0.48026662969687745,0.0,0.35873147985864573,0.452353907418654,0.09362242756000824
input_proj,268288,input,-1,9,0.27718245485362636,0.27718245485362636,0.0,0.4847973229097461,0.4847973229097461,0.0
state_proj_only,66048,input,-1,9,0.2790120420143764,0.2790120420143764,0.0,0.5107520553026196,0.5107520553026196,0.0
lang_proj_only,197120,input,-1,5,0.07867224791225039,0.15734449582450077,0.07867224791225039,0.26881687121190506,0.4931399154645983,0.2243230442526932
output_head,38475,output,99,1,0.5058808499473776,0.5058808499473776,0.0,0.41342180882934365,0.4542078168752879,0.04078600804594423
first_ln,1024,norm,0,6,0.1006272938412505,0.1006272938412505,0.0,0.571931067371536,0.8527983500515609,0.2808672826800249
last_ln,1024,norm,99,1,0.4875849783398775,0.4875849783398775,0.0,0.35873147985864573,0.4597695452451893,0.1010380653865436
rand_block_00_0,3152384,random,0,1,0.5122844050100026,0.5122844050100026,0.0,0.38375925752320245,0.4458652243204356,0.062105966797233216
rand_block_00_1,3152384,random,0,1,0.5159435793315026,0.5159435793315026,0.0,0.40322530681785757,0.4597695452451893,0.05654423842733178
rand_block_01_0,3152384,random,1,1,0.5122844050100026,0.5122844050100026,0.0,0.38375925752320245,0.4458652243204356,0.062105966797233216
rand_block_01_1,3152384,random,1,1,0.5159435793315026,0.5159435793315026,0.0,0.40322530681785757,0.4597695452451893,0.05654423842733178
rand_block_02_0,3152384,random,2,1,0.5122844050100026,0.5122844050100026,0.0,0.38375925752320245,0.4458652243204356,0.062105966797233216
rand_block_02_1,3152384,random,2,1,0.5159435793315026,0.5159435793315026,0.0,0.40322530681785757,0.4597695452451893,0.05654423842733178
rand_block_03_0,3152384,random,3,1,0.5122844050100026,0.5122844050100026,0.0,0.38375925752320245,0.4458652243204356,0.062105966797233216
rand_block_03_1,3152384,random,3,1,0.5159435793315026,0.5159435793315026,0.0,0.40322530681785757,0.4597695452451893,0.05654423842733178
rand_block_04_0,3152384,random,4,1,0.5122844050100026,0.5122844050100026,0.0,0.38375925752320245,0.4458652243204356,0.062105966797233216
rand_block_04_1,3152384,random,4,1,0.5159435793315026,0.5159435793315026,0.0,0.40322530681785757,0.4597695452451893,0.05654423842733178
rand_block_05_0,3152384,random,5,1,0.5122844050100026,0.5122844050100026,0.0,0.38375925752320245,0.4458652243204356,0.062105966797233216
rand_block_05_1,3152384,random,5,1,0.5159435793315026,0.5159435793315026,0.0,0.40322530681785757,0.4597695452451893,0.05654423842733178
rand_blk00_attn_0,1050624,random,0,1,0.5296654830371277,0.5296654830371277,0.0,0.35316975148874424,0.4143487635576606,0.06117901206891638
rand_blk00_attn_1,1050624,random,0,1,0.5369838316801276,0.5369838316801276,0.0,0.3754166649683502,0.3754166649683502,0.0
rand_blk00_mlp_0,2099712,random,0,2,0.5077104371081276,0.5077104371081276,0.0,0.2984794225180463,0.5033364174760844,0.20485699495803805
rand_blk00_mlp_1,2099712,random,0,1,0.5269211022960026,0.5269211022960026,0.0,0.3494619325754766,0.43752263176558337,0.08806069919010681
rand_blk01_attn_0,1050624,random,1,1,0.5296654830371277,0.5296654830371277,0.0,0.35316975148874424,0.4143487635576606,0.06117901206891638
rand_blk01_attn_1,1050624,random,1,1,0.5369838316801276,0.5369838316801276,0.0,0.3754166649683502,0.3754166649683502,0.0
rand_blk01_mlp_0,2099712,random,1,2,0.5077104371081276,0.5077104371081276,0.0,0.2984794225180463,0.5033364174760844,0.20485699495803805
rand_blk01_mlp_1,2099712,random,1,1,0.5269211022960026,0.5269211022960026,0.0,0.3494619325754766,0.43752263176558337,0.08806069919010681
rand_blk02_attn_0,1050624,random,2,1,0.5296654830371277,0.5296654830371277,0.0,0.35316975148874424,0.4143487635576606,0.06117901206891638
rand_blk02_attn_1,1050624,random,2,1,0.5369838316801276,0.5369838316801276,0.0,0.3754166649683502,0.3754166649683502,0.0
rand_blk02_mlp_0,2099712,random,2,2,0.5077104371081276,0.5077104371081276,0.0,0.2984794225180463,0.5033364174760844,0.20485699495803805
rand_blk02_mlp_1,2099712,random,2,1,0.5269211022960026,0.5269211022960026,0.0,0.3494619325754766,0.43752263176558337,0.08806069919010681
rand_blk03_attn_0,1050624,random,3,1,0.5296654830371277,0.5296654830371277,0.0,0.35316975148874424,0.4143487635576606,0.06117901206891638
rand_blk03_attn_1,1050624,random,3,1,0.5369838316801276,0.5369838316801276,0.0,0.3754166649683502,0.3754166649683502,0.0
rand_blk03_mlp_0,2099712,random,3,2,0.5077104371081276,0.5077104371081276,0.0,0.2984794225180463,0.5033364174760844,0.20485699495803805
rand_blk03_mlp_1,2099712,random,3,1,0.5269211022960026,0.5269211022960026,0.0,0.3494619325754766,0.43752263176558337,0.08806069919010681
rand_blk04_attn_0,1050624,random,4,1,0.5296654830371277,0.5296654830371277,0.0,0.35316975148874424,0.4143487635576606,0.06117901206891638
rand_blk04_attn_1,1050624,random,4,1,0.5369838316801276,0.5369838316801276,0.0,0.3754166649683502,0.3754166649683502,0.0
rand_blk04_mlp_0,2099712,random,4,2,0.5077104371081276,0.5077104371081276,0.0,0.2984794225180463,0.5033364174760844,0.20485699495803805
