campaign,source,weighting,target,ceiling,half_split,n_masks,n_seeds,n_splits,gate_pass
A,campaign,plain,C1,0.9410990938322127,0.888750862663906,24,10,126,True
A,campaign,plain,C2,0.9250422861212498,0.8605383022774327,24,10,126,True
A,campaign,plain,C3,0.7594656027807147,0.6122084195997239,24,10,126,True
A,campaign,plain,C4,0.9021479713603818,0.8217391304347825,24,10,126,True
A,campaign,plain,C5,0.9201515812066131,0.8521118012422358,24,10,126,True
A,campaign,plain,C6,0.9692225063756682,0.9402829537612144,24,10,126,True
A,campaign,plain,C7,0.9387064523571482,0.8844927536231881,24,10,126,True
A,campaign,plain,C8,0.9458981689618298,0.8973498964803313,24,10,126,True
A,campaign,plain,C9,0.9192414551828302,0.8505521048999309,24,10,126,True
A,campaign,transport,C1,0.92933144174499,0.8679917184265008,24,10,126,True
A,campaign,transport,C2,0.8960546715781694,0.8116839199447895,24,10,126,True
A,campaign,transport,C3,0.8023061186535243,0.6698757763975155,24,10,126,True
A,campaign,transport,C4,0.8749475907262761,0.7776949620427881,24,10,126,True
A,campaign,transport,C5,0.9119375246390958,0.8381297446514836,24,10,126,True
A,campaign,transport,C6,0.9756459651479269,0.9524499654934439,24,10,126,True
A,campaign,transport,C7,0.9327696432254072,0.8740096618357488,24,10,126,True
A,campaign,transport,C8,0.9120518971517384,0.8383229813664596,24,10,126,True
A,campaign,transport,C9,0.9248747913188646,0.8602484472049686,24,10,126,True
A,campaign,interaction,C1,0.9615769124650185,0.9259972394755003,24,10,126,True
A,campaign,interaction,C2,0.9453687933970916,0.8963975155279502,24,10,126,True
A,campaign,interaction,C3,0.7436978979265378,0.5919737750172532,24,10,126,True
A,campaign,interaction,C4,0.9235249543111005,0.8579158040027604,24,10,126,True
A,campaign,interaction,C5,0.9234569735693455,0.8577984817115251,24,10,126,True
A,campaign,interaction,C6,0.9590255502113918,0.9212767425810905,24,10,126,True
A,campaign,interaction,C7,0.8892891910744536,0.8006487232574189,24,10,126,True
A,campaign,interaction,C8,0.9391571094410625,0.8852933057280883,24,10,126,True
A,campaign,interaction,C9,0.910067396798652,0.8349758454106281,24,10,126,True
