name,target,kind,lds,ceiling,ratio,bar,p,n,alpha,family,weighting,PASS
H1_datamodel_C2,C2,datamodel_loo,0.6643478260869564,0.9118607181719259,0.7285628307564594,0.45593035908596297,0.00019962164356329755,24,0.005,prereg,plain,True
H2_tracin_head_C1,C1,tracin,0.37913043478260866,0.9247814501425833,0.4099676033987859,0.46239072507129164,0.0338423324410022,24,0.005,prereg,plain,False
H3_kfac_embed_C5,C5,kfac,0.4669565217391304,0.9357271759751977,0.49903062957691363,0.46786358798759886,0.010710965839107639,24,0.005,prereg,plain,False
H4_interaction_functional_C5,C5,functional,-0.029565217391304344,0.9001530221882174,-0.032844657144440945,0.4500765110941087,0.5545386978116477,24,0.005,prereg,interaction,False
H5_graddot_head_C1,C1,graddot_group,0.31130434782608696,0.9247814501425833,0.3366247752678105,0.46239072507129164,0.06933777133493857,24,0.005,prereg,plain,False
REF_graddot_ALL,C1,graddot_group,0.31130434782608696,0.9247814501425833,0.3366247752678105,0.46239072507129164,0.06933777133493857,24,0.025,reference,plain,False
REF_graddot_ALL,C2,graddot_group,0.4495652173913043,0.9118607181719259,0.49301961191242083,0.45593035908596297,0.013760955884880535,24,0.025,reference,plain,False
REF_graddot_ALL,C5,graddot_group,-0.09913043478260869,0.9357271759751977,-0.1059394632621381,0.46786358798759886,0.6775471804846325,24,0.025,reference,plain,False
REF_tracin_head_last1,C1,tracin,0.31130434782608696,0.9247814501425833,0.3366247752678105,0.46239072507129164,0.06933777133493857,24,0.025,reference,plain,False
REF_tracin_head_last1,C2,tracin,0.4478260869565217,0.9118607181719259,0.4911123793711736,0.45593035908596297,0.014100745954841119,24,0.025,reference,plain,False
REF_tracin_head_last1,C5,tracin,-0.09913043478260869,0.9357271759751977,-0.1059394632621381,0.46786358798759886,0.6775471804846325,24,0.025,reference,plain,False
