name,target,kind,lds,ceiling,ratio,bar,p,n,alpha,family,weighting,PASS
H1_datamodel_C2,C2,datamodel_loo,0.588695652173913,0.940018507613359,0.6262596400028015,0.4700092538066795,0.0012378807594517237,24,0.005,prereg,plain,True
H2_tracin_head_C1,C1,tracin,0.32521739130434785,0.9576926811899136,0.3395842922181173,0.4788463405949568,0.0604889367718617,24,0.005,prereg,plain,False
H3_kfac_embed_C5,C5,kfac,0.5408695652173913,0.960041627043224,0.563381368038367,0.480020813521612,0.003176094789368347,24,0.005,prereg,plain,True
H4_interaction_functional_C5,C5,functional,-0.05217391304347826,0.9559879387426463,-0.05457591139915372,0.47799396937132316,0.5956559011765431,24,0.005,prereg,interaction,False
H5_graddot_head_C1,C1,graddot_group,0.2713043478260869,0.9576926811899136,0.2832895699787502,0.4788463405949568,0.0998556200790276,24,0.005,prereg,plain,False
REF_graddot_ALL,C1,graddot_group,0.2713043478260869,0.9576926811899136,0.2832895699787502,0.4788463405949568,0.0998556200790276,24,0.025,reference,plain,False
REF_graddot_ALL,C2,graddot_group,0.4208695652173913,0.940018507613359,0.4477247647878227,0.4700092538066795,0.02027980036111722,24,0.025,reference,plain,False
REF_graddot_ALL,C5,graddot_group,-0.18173913043478263,0.960041627043224,-0.18930338572350278,0.480020813521612,0.8023145790116382,24,0.025,reference,plain,False
REF_tracin_head_last1,C1,tracin,0.2713043478260869,0.9576926811899136,0.2832895699787502,0.4788463405949568,0.0998556200790276,24,0.025,reference,plain,False
REF_tracin_head_last1,C2,tracin,0.42,0.940018507613359,0.4467997136209057,0.4700092538066795,0.020509800007056437,24,0.025,reference,plain,False
REF_tracin_head_last1,C5,tracin,-0.18173913043478263,0.960041627043224,-0.18930338572350278,0.480020813521612,0.8023145790116382,24,0.025,reference,plain,False
