arm,pool,tau,r_kendall,r2,ratio,n_masks_A,n_masks_B
H1,50,-0.056842,0.474459,0.808231,-0.082523,184,184
H1,100,-0.036003,0.530963,0.851003,-0.049409,367,368
H1,200,-0.129853,0.563325,0.872497,-0.173010,732,728
H1,370,-0.031758,0.572021,0.877924,-0.041990,1355,1358
H2,50,0.128178,0.474459,0.808231,0.186086,184,184
H2,100,0.203417,0.530963,0.851003,0.279162,367,368
H2,200,0.214793,0.563325,0.872497,0.286181,732,728
H2,370,0.226209,0.572021,0.877924,0.299091,1355,1358
H1f,50,-0.056842,0.474459,0.808231,-0.082523,184,184
H1f,100,0.037062,0.530963,0.851003,0.050862,367,368
H1f,200,-0.116728,0.563325,0.872497,-0.155523,732,728
H1f,370,-0.113866,0.572021,0.877924,-0.150553,1355,1358
