tier,estimator,normalize,ridge_rel,aggregator,target,lds,ceiling,ratio,bar,p,n,passed
bc_s10,GradDot,unitL2,,mean,C1,0.5130434782608695,0.9505589414333672,0.5397282124212527,0.4752794707166836,0.005176914080912385,24,True
bc_s10,GradDot,unitL2,,mean,C5,0.328695652173913,0.9380881188989534,0.3503888873037935,0.4690440594494767,0.05841137529435366,24,False
bc_s10,GradDot,unitL2,,median,C1,0.5469565217391303,0.9505589414333672,0.5754051620558779,0.4752794707166836,0.0028384827143188565,24,True
bc_s10,GradDot,unitL2,,median,C5,0.11565217391304347,0.9380881188989534,0.12328497886614957,0.4690440594494767,0.29523915844342064,24,False
bc_s10,GradDot,unitL2,,trimmed_0.1,C1,0.5208695652173913,0.9505589414333672,0.5479613546446278,0.4752794707166836,0.004530524312146108,24,True
bc_s10,GradDot,unitL2,,trimmed_0.1,C5,0.2834782608695652,0.9380881188989534,0.302187241431314,0.4690440594494767,0.0897417214877538,24,False
bc_s10,GradDot,unitL2,,trimmed_0.2,C1,0.5426086956521738,0.9505589414333672,0.5708311941540029,0.4752794707166836,0.00307637833491019,24,True
bc_s10,GradDot,unitL2,,trimmed_0.2,C5,0.2860869565217391,0.9380881188989534,0.3049681056162647,0.4690440594494767,0.08767019694173468,24,False
bc_s10,GradDot,unitL2,,hodges_lehmann,C1,0.5678260869565217,0.9505589414333672,0.597360207984878,0.4752794707166836,0.001899836661251779,24,True
bc_s10,GradDot,unitL2,,hodges_lehmann,C5,0.328695652173913,0.9380881188989534,0.3503888873037935,0.4690440594494767,0.05841137529435366,24,False
bc_s10,GradDot,dmean,,mean,C1,0.5930434782608696,0.9505589414333672,0.6238892218157532,0.4752794707166836,0.0011281029205193718,24,True
bc_s10,GradDot,dmean,,mean,C5,0.3904347826086956,0.9380881188989534,0.41620267301429437,0.4690440594494767,0.02962875484969943,24,False
bc_s10,GradDot,dmean,,median,C1,0.3852173913043478,0.9505589414333672,0.40525355610612707,0.4752794707166836,0.031520076335364626,24,False
bc_s10,GradDot,dmean,,median,C5,0.17130434782608694,0.9380881188989534,0.18261008147843208,0.4690440594494767,0.21175156839220233,24,False
bc_s10,GradDot,dmean,,trimmed_0.1,C1,0.528695652173913,0.9505589414333672,0.5561944968680028,0.4752794707166836,0.003952542977514913,24,True
bc_s10,GradDot,dmean,,trimmed_0.1,C5,0.32434782608695645,0.9380881188989534,0.3457541136622089,0.4690440594494767,0.06101661942694002,24,False
bc_s10,GradDot,dmean,,trimmed_0.2,C1,0.49999999999999994,0.9505589414333672,0.5260063087156276,0.4752794707166836,0.0064227104840028845,24,True
bc_s10,GradDot,dmean,,trimmed_0.2,C5,0.2843478260869565,0.9380881188989534,0.3031141961596309,0.4690440594494767,0.08904749047656121,24,False
bc_s10,GradDot,dmean,,hodges_lehmann,C1,0.54,0.9505589414333672,0.5680868134128779,0.4752794707166836,0.0032269572371199473,24,True
bc_s10,GradDot,dmean,,hodges_lehmann,C5,0.3556521739130434,0.9380881188989534,0.37912448388161774,0.4690440594494767,0.044041160804254166,24,False
bc_s10,IF,none,0.01,mean,C1,0.3217391304347825,0.9505589414333672,0.33847362473875164,0.4752794707166836,0.06261972933243162,24,False
bc_s10,IF,none,0.01,mean,C5,0.4104347826086956,0.9380881188989534,0.43752263176558337,0.4690440594494767,0.023177695621009596,24,False
bc_s10,IF,none,0.01,median,C1,0.48,0.9505589414333672,0.5049660563670025,0.4752794707166836,0.008803244046005168,24,True
bc_s10,IF,none,0.01,median,C5,0.3139130434782608,0.9380881188989534,0.33463065692240596,0.4690440594494767,0.06761190541717366,24,False
bc_s10,IF,none,0.01,trimmed_0.1,C1,0.4730434782608695,0.9505589414333672,0.4976477077240025,0.4752794707166836,0.009782874327528116,24,False
bc_s10,IF,none,0.01,trimmed_0.1,C5,0.4130434782608695,0.9380881188989534,0.44030349595053414,0.4690440594494767,0.02242457694990885,24,False
bc_s10,IF,none,0.01,trimmed_0.2,C1,0.49217391304347824,0.9505589414333672,0.5177731664922527,0.4752794707166836,0.0072817246150768365,24,True
bc_s10,IF,none,0.01,trimmed_0.2,C5,0.33391304347826084,0.9380881188989534,0.35595061567369496,0.4690440594494767,0.05539341627856707,24,False
bc_s10,IF,none,0.01,hodges_lehmann,C1,0.46347826086956523,0.9505589414333672,0.4875849783398775,0.4752794707166836,0.011272486426091563,24,False
bc_s10,IF,none,0.01,hodges_lehmann,C5,0.3313043478260869,0.9380881188989534,0.35316975148874424,0.4690440594494767,0.05688774673740126,24,False
bc_s10,IF,none,10.0,mean,C1,0.5965217391304348,0.9505589414333672,0.6275483961372532,0.4752794707166836,0.001046349535234133,24,True
bc_s10,IF,none,10.0,mean,C5,0.39391304347826084,0.9380881188989534,0.4199104919275621,0.4690440594494767,0.028417347759815016,24,False
bc_s10,IF,none,10.0,median,C1,0.39391304347826084,0.9505589414333672,0.4144014919098771,0.4752794707166836,0.028417347759815016,24,False
bc_s10,IF,none,10.0,median,C5,0.17043478260869566,0.9380881188989534,0.18168312675011516,0.4690440594494767,0.21294776815372396,24,False
bc_s10,IF,none,10.0,trimmed_0.1,C1,0.5304347826086956,0.9505589414333672,0.5580240840287528,0.4752794707166836,0.003832812839974303,24,True
bc_s10,IF,none,10.0,trimmed_0.1,C5,0.32347826086956516,0.9380881188989534,0.344827158933892,0.4690440594494767,0.06154763910963067,24,False
bc_s10,IF,none,10.0,trimmed_0.2,C1,0.5139130434782608,0.9505589414333672,0.5406430060016277,0.4752794707166836,0.005101530546115006,24,True
bc_s10,IF,none,10.0,trimmed_0.2,C5,0.29130434782608694,0.9380881188989534,0.3105298339861662,0.4690440594494767,0.08362717168217632,24,False
bc_s10,IF,none,10.0,hodges_lehmann,C1,0.5408695652173913,0.9505589414333672,0.5690016069932529,0.4752794707166836,0.003176094789368347,24,True
bc_s10,IF,none,10.0,hodges_lehmann,C5,0.34956521739130436,0.9380881188989534,0.3726358007833995,0.4690440594494767,0.04702655941797975,24,False
bc_s10,IF,unitL2,10.0,mean,C1,0.5130434782608695,0.9505589414333672,0.5397282124212527,0.4752794707166836,0.005176914080912385,24,True
bc_s10,IF,unitL2,10.0,mean,C5,0.328695652173913,0.9380881188989534,0.3503888873037935,0.4690440594494767,0.05841137529435366,24,False
bc_s10,IF,unitL2,10.0,median,C1,0.5495652173913043,0.9505589414333672,0.5781495427970029,0.4752794707166836,0.002703289914333427,24,True
bc_s10,IF,unitL2,10.0,median,C5,0.09130434782608696,0.9380881188989534,0.09733024647327598,0.4690440594494767,0.3356706347823206,24,False
bc_s10,IF,unitL2,10.0,trimmed_0.1,C1,0.5208695652173913,0.9505589414333672,0.5479613546446278,0.4752794707166836,0.004530524312146108,24,True
bc_s10,IF,unitL2,10.0,trimmed_0.1,C5,0.2834782608695652,0.9380881188989534,0.302187241431314,0.4690440594494767,0.0897417214877538,24,False
bc_s10,IF,unitL2,10.0,trimmed_0.2,C1,0.5408695652173913,0.9505589414333672,0.5690016069932529,0.4752794707166836,0.003176094789368347,24,True
bc_s10,IF,unitL2,10.0,trimmed_0.2,C5,0.28782608695652173,0.9380881188989534,0.3068220150728986,0.4690440594494767,0.08630774969135972,24,False
bc_s10,IF,unitL2,10.0,hodges_lehmann,C1,0.5678260869565217,0.9505589414333672,0.597360207984878,0.4752794707166836,0.001899836661251779,24,True
bc_s10,IF,unitL2,10.0,hodges_lehmann,C5,0.32608695652173914,0.9380881188989534,0.3476080231188428,0.4690440594494767,0.059964581129582424,24,False
bc_s10,TRAK,none,0.01,mean,C1,-0.19130434782608693,0.9505589414333672,-0.201254587682501,0.4752794707166836,0.8147335966650284,24,False
bc_s10,TRAK,none,0.01,mean,C5,0.2217391304347826,0.9380881188989534,0.23637345572081309,0.4690440594494767,0.14885892873587975,24,False
bc_s10,TRAK,none,0.01,median,C1,-0.31565217391304345,0.9505589414333672,-0.3320700696761267,0.4752794707166836,0.9335213937304367,24,False
bc_s10,TRAK,none,0.01,median,C5,0.18086956521739128,0.9380881188989534,0.1928065834899181,0.4690440594494767,0.19883710370845206,24,False
bc_s10,TRAK,none,0.01,trimmed_0.1,C1,-0.2295652173913043,0.9505589414333672,-0.2415055052190012,0.4752794707166836,0.859726560295316,24,False
bc_s10,TRAK,none,0.01,trimmed_0.1,C5,0.3,0.9380881188989534,0.3197993812693354,0.4690440594494767,0.07718150456800539,24,False
bc_s10,TRAK,none,0.01,trimmed_0.2,C1,-0.2791304347826086,0.9505589414333672,-0.29364873930037644,0.4752794707166836,0.9067310196214772,24,False
bc_s10,TRAK,none,0.01,trimmed_0.2,C5,0.2217391304347826,0.9380881188989534,0.23637345572081309,0.4690440594494767,0.14885892873587975,24,False
bc_s10,TRAK,none,0.01,hodges_lehmann,C1,-0.2817391304347826,0.9505589414333672,-0.29639312004150153,0.4752794707166836,0.9088586149945214,24,False
bc_s10,TRAK,none,0.01,hodges_lehmann,C5,0.31304347826086953,0.9380881188989534,0.33370370219408907,0.4690440594494767,0.06818372920873285,24,False
bc_s10,TRAK,unitL2,10.0,mean,C1,0.4860869565217391,0.9505589414333672,0.5113696114296276,0.4752794707166836,0.008013028675409472,24,True
bc_s10,TRAK,unitL2,10.0,mean,C5,0.35478260869565215,0.9380881188989534,0.3781975291533009,0.4690440594494767,0.04445871553657303,24,False
bc_s10,TRAK,unitL2,10.0,median,C1,0.5113043478260869,0.9505589414333672,0.5378986252605027,0.4752794707166836,0.0053304449583610955,24,True
bc_s10,TRAK,unitL2,10.0,median,C5,0.3095652173913043,0.9380881188989534,0.3299958832808214,0.4690440594494767,0.07050573355655235,24,False
bc_s10,TRAK,unitL2,10.0,trimmed_0.1,C1,0.4878260869565217,0.9505589414333672,0.5131991985903775,0.4752794707166836,0.00779822035532411,24,True
bc_s10,TRAK,unitL2,10.0,trimmed_0.1,C5,0.368695652173913,0.9380881188989534,0.39302880480637153,0.4690440594494767,0.03812484423954127,24,False
bc_s10,TRAK,unitL2,10.0,trimmed_0.2,C1,0.4991304347826086,0.9505589414333672,0.5250915151352525,0.4752794707166836,0.0065138318820643915,24,True
bc_s10,TRAK,unitL2,10.0,trimmed_0.2,C5,0.3643478260869565,0.9380881188989534,0.388394031164787,0.4690440594494767,0.04002573377966406,24,False
bc_s10,TRAK,unitL2,10.0,hodges_lehmann,C1,0.5060869565217391,0.9505589414333672,0.5324098637782527,0.4752794707166836,0.005813764141680733,24,True
bc_s10,TRAK,unitL2,10.0,hodges_lehmann,C5,0.3652173913043478,0.9380881188989534,0.38932098589310393,0.4690440594494767,0.0396399453050445,24,False
