grain,arm,statistic,primary,n_masks,depth,lds,lds_se,ceiling,ratio,ratio_sqrt,alpha,note
k=3,datamodel fit on O -> scored on R (TRANSFER),kendall_tau_b,True,400,2,0.3056641604010025,0.02962186036857675,0.39161543887937117,0.780521220704876,0.48844381826564404,10.0,out-of-sample AND out-of-partition; nothing about R was seen
k=3,"datamodel fit on R -> scored on R (LOO, within)",kendall_tau_b,True,400,2,0.328671679197995,0.02957652123033152,0.39161543887937117,0.8392715060941082,0.5252092680170266,10.0,pass 10's number; same mask ensemble it was fit on
k=3,"GradDot (cached, campaign-independent)",kendall_tau_b,True,400,2,0.07814536340852131,0.031787002665966194,0.39161543887937117,0.19954617630024626,0.12487437072419467,10.0,transfers by construction -- the yardstick
k=3,datamodel fit on O -> scored on R (TRANSFER),spearman,False,400,2,0.4438568991056194,0.04166997686018807,0.530764266769881,0.8362599498395749,0.6092452282800535,10.0,out-of-sample AND out-of-partition; nothing about R was seen
k=3,"datamodel fit on R -> scored on R (LOO, within)",spearman,False,400,2,0.47268407927549544,0.04006115779328292,0.530764266769881,0.8905725363769319,0.6488138865540508,10.0,pass 10's number; same mask ensemble it was fit on
k=3,"GradDot (cached, campaign-independent)",spearman,False,400,2,0.11463690398064988,0.04901550485374523,0.530764266769881,0.2159845927049796,0.1573524865237932,10.0,transfers by construction -- the yardstick
k=5,datamodel fit on O -> scored on R (TRANSFER),kendall_tau_b,True,400,2,0.32100250626566423,0.031076464877147977,0.42575605137006567,0.7539587640215358,0.4919579787663531,10.0,out-of-sample AND out-of-partition; nothing about R was seen
k=5,"datamodel fit on R -> scored on R (LOO, within)",kendall_tau_b,True,400,2,0.46989974937343365,0.025842068579676653,0.42575605137006567,1.103683078282306,0.7201530405910644,10.0,pass 10's number; same mask ensemble it was fit on
k=5,"GradDot (cached, campaign-independent)",kendall_tau_b,True,400,2,0.13619047619047622,0.032275259851413406,0.42575605137006567,0.319879132080967,0.20872108499503145,10.0,transfers by construction -- the yardstick
k=5,datamodel fit on O -> scored on R (TRANSFER),spearman,False,400,2,0.46135825848911555,0.04208758233367493,0.5692318175501626,0.8104927452486598,0.6114961336476169,10.0,out-of-sample AND out-of-partition; nothing about R was seen
k=5,"datamodel fit on R -> scored on R (LOO, within)",spearman,False,400,2,0.6516545103406896,0.03097182775474124,0.5692318175501626,1.1447963558067686,0.863719693351417,10.0,pass 10's number; same mask ensemble it was fit on
k=5,"GradDot (cached, campaign-independent)",spearman,False,400,2,0.20548047175294845,0.0480625800482974,0.5692318175501626,0.36097854234024934,0.27234911634291403,10.0,transfers by construction -- the yardstick
