scored_on,arm,statistic,primary,n_masks,depth,lds,lds_se,ceiling,ratio,cross_grain,in_sample
k=3,"fit k=3 (within, LOO -- the honest same-grain read)",kendall_tau_b,True,400,2,0.39258145363408525,0.02759143789850172,0.3759361771409964,1.0442768680037036,False,False
k=3,"fit k=3 (IN-SAMPLE, not a transfer number)",kendall_tau_b,True,400,2,0.46588972431077696,0.026280502759285167,0.3759361771409964,1.2392787729392776,False,True
k=3,fit k=5 -> score k=3 (CROSS-GRAIN),kendall_tau_b,True,400,2,0.32754385964912286,0.029140984472473683,0.3759361771409964,0.8712751779839379,True,False
k=3,GradDot (reference),kendall_tau_b,True,400,2,0.13383458646616544,0.03268325910062972,0.3759361771409964,0.35600347772853536,False,False
k=3,"fit k=3 (within, LOO -- the honest same-grain read)",spearman,False,400,2,0.558503740648379,0.03617340791552846,0.5095573832843394,1.0960566149558213,False,False
k=3,"fit k=3 (IN-SAMPLE, not a transfer number)",spearman,False,400,2,0.6472495453096582,0.03180140711539747,0.5095573832843394,1.2702191481120877,False,True
k=3,fit k=5 -> score k=3 (CROSS-GRAIN),spearman,False,400,2,0.47735004593778707,0.039880933337839555,0.5095573832843394,0.9367935027475007,True,False
k=3,GradDot (reference),spearman,False,400,2,0.19985599909999435,0.0475787500312943,0.5095573832843394,0.3922149019053114,False,False
k=5,"fit k=5 (within, LOO -- the honest same-grain read)",kendall_tau_b,True,400,2,0.4188721804511279,0.027480207012841432,0.38624873609706784,1.084462268236035,False,False
k=5,"fit k=5 (IN-SAMPLE, not a transfer number)",kendall_tau_b,True,400,2,0.4640852130325815,0.025532738196667133,0.38624873609706784,1.2015190463068663,False,True
k=5,fit k=3 -> score k=5 (CROSS-GRAIN),kendall_tau_b,True,400,2,0.3755137844611529,0.02902892547687423,0.38624873609706784,0.972207154010681,True,False
k=5,GradDot (reference),kendall_tau_b,True,400,2,0.1410526315789474,0.0317493109079278,0.38624873609706784,0.365186001653348,False,False
k=5,"fit k=5 (within, LOO -- the honest same-grain read)",spearman,False,400,2,0.5930917068231676,0.03339551238343785,0.5171126501415448,1.146929410179437,False,False
k=5,"fit k=5 (IN-SAMPLE, not a transfer number)",spearman,False,400,2,0.6476716104475652,0.03222274625477075,0.5171126501415448,1.2524768254466092,False,True
k=5,fit k=3 -> score k=5 (CROSS-GRAIN),spearman,False,400,2,0.5369444809030056,0.03676496805166053,0.5171126501415448,1.0383510841516492,True,False
k=5,GradDot (reference),spearman,False,400,2,0.21203138769617308,0.04813072079079686,0.5171126501415448,0.4100293961830861,False,False
