grain,arm,statistic,primary,scoring_depth,n_masks,lds,lds_se,ceiling,ratio,ratio_sqrt,CLEARS_BAR
k=3,datamodel fit on O -> scored on R (TRANSFER),kendall_tau_b,True,2,400,0.3056641604010025,0.029282520562920855,0.39161543887937117,0.780521220704876,0.48844381826564404,True
k=3,"datamodel fit on R -> scored on R (within, LOO)",kendall_tau_b,True,2,400,0.328671679197995,0.030081330630947433,0.39161543887937117,0.8392715060941082,0.5252092680170266,True
k=3,GradDot (campaign-independent),kendall_tau_b,True,2,400,0.07814536340852131,0.03118344287663859,0.39161543887937117,0.19954617630024626,0.12487437072419467,False
k=3,datamodel fit on O -> scored on R (TRANSFER),spearman,False,2,400,0.4438568991056194,0.04325305587306643,0.530764266769881,0.8362599498395749,0.6092452282800535,True
k=3,"datamodel fit on R -> scored on R (within, LOO)",spearman,False,2,400,0.47268407927549544,0.04098353035498936,0.530764266769881,0.8905725363769319,0.6488138865540508,True
k=3,GradDot (campaign-independent),spearman,False,2,400,0.11463690398064988,0.048677476113881325,0.530764266769881,0.2159845927049796,0.1573524865237932,False
k=3,datamodel fit on O -> scored on R (TRANSFER),kendall_tau_b,True,4,400,0.34631578947368424,0.02947135245429658,0.5423237575654251,0.6385775740829596,0.47026534712726836,True
k=3,"datamodel fit on R -> scored on R (within, LOO)",kendall_tau_b,True,4,400,0.44621553884711784,0.02656366189926754,0.5423237575654251,0.8227844209706914,0.6059201215989207,True
k=3,GradDot (campaign-independent),kendall_tau_b,True,4,400,0.07203007518796993,0.03242245306929269,0.5423237575654251,0.13281748067118437,0.09781029147805538,False
k=3,datamodel fit on O -> scored on R (TRANSFER),spearman,False,4,400,0.496491290570566,0.04029901655737147,0.692373190360883,0.7170862440698806,0.5966800438833655,True
k=3,"datamodel fit on R -> scored on R (within, LOO)",spearman,False,4,400,0.6222012637578984,0.034377909191196224,0.692373190360883,0.8986501390003141,0.7477574821840345,True
k=3,GradDot (campaign-independent),spearman,False,4,400,0.10736410852567828,0.04831693790195846,0.692373190360883,0.15506681948461537,0.1290294959917228,False
k=5,datamodel fit on O -> scored on R (TRANSFER),kendall_tau_b,True,2,400,0.32100250626566423,0.030616921304315443,0.42575605137006567,0.7539587640215358,0.4919579787663531,True
k=5,"datamodel fit on R -> scored on R (within, LOO)",kendall_tau_b,True,2,400,0.46989974937343365,0.02536189647034697,0.42575605137006567,1.103683078282306,0.7201530405910644,True
k=5,GradDot (campaign-independent),kendall_tau_b,True,2,400,0.13619047619047622,0.032579597627724916,0.42575605137006567,0.319879132080967,0.20872108499503145,False
k=5,datamodel fit on O -> scored on R (TRANSFER),spearman,False,2,400,0.46135825848911555,0.042917769771620644,0.5692318175501626,0.8104927452486598,0.6114961336476169,True
k=5,"datamodel fit on R -> scored on R (within, LOO)",spearman,False,2,400,0.6516545103406896,0.03162722255406786,0.5692318175501626,1.1447963558067686,0.863719693351417,True
k=5,GradDot (campaign-independent),spearman,False,2,400,0.20548047175294845,0.047239341881240696,0.5692318175501626,0.36097854234024934,0.27234911634291403,False
k=5,datamodel fit on O -> scored on R (TRANSFER),kendall_tau_b,True,4,400,0.31020050125313287,0.031410993513140445,0.5761272326075191,0.5384236045381556,0.4086799138864724,True
k=5,"datamodel fit on R -> scored on R (within, LOO)",kendall_tau_b,True,4,400,0.5529824561403509,0.021270132974799474,0.5761272326075191,0.959826970229447,0.7285379025604852,True
k=5,GradDot (campaign-independent),kendall_tau_b,True,4,400,0.09125313283208021,0.03441083797989556,0.5761272326075191,0.1583905909447705,0.12022328241582338,False
k=5,datamodel fit on O -> scored on R (TRANSFER),spearman,False,4,400,0.44834286464290396,0.040927325627117574,0.7283158110715345,0.6155885370431263,0.5253520040308686,True
k=5,"datamodel fit on R -> scored on R (within, LOO)",spearman,False,4,400,0.7496660604128775,0.023887418668155636,0.7283158110715345,1.0293145487394149,0.8784316607904886,True
k=5,GradDot (campaign-independent),spearman,False,4,400,0.13716704479402994,0.05219111900855251,0.7283158110715345,0.18833456957665515,0.16072739760658544,False
