source,agg,lam_rel,beta,target,dG,dH,dI,d_pooled
cachedE20_full,dmean,inf,0.0,C1,0.0,0.0,0.0,0.0
cachedE20_full,dmean,inf,0.0,C2,0.0,0.0,0.0,0.0
cachedE20_full,dmean,inf,0.0,C3,0.0,0.0,0.0,0.0
cachedE20_full,dmean,inf,0.0,C4,0.0,0.0,0.0,0.0
cachedE20_full,dmean,inf,0.0,C5,0.0,0.0,0.0,0.0
cachedE20_full,dmean,inf,0.0,C6,0.0,0.0,0.0,0.0
cachedE20_full,dmean,inf,0.0,C7,0.0,0.0,0.0,0.0
cachedE20_full,dmean,inf,0.0,C8,0.0,0.0,0.0,0.0
cachedE20_full,dmean,inf,0.0,C9,0.0,0.0,0.0,0.0
cachedE20_full,dmean,inf,0.5,C1,-0.2617391304347825,-0.3,0.5504347826086956,-0.028683516624863375
cachedE20_full,dmean,inf,0.5,C2,-0.6226086956521739,-0.26434782608695645,-0.11739130434782608,-0.28030741526786296
cachedE20_full,dmean,inf,0.5,C3,-0.06956521739130432,0.3113043478260869,-0.054782608695652164,0.05739918965849894
cachedE20_full,dmean,inf,0.5,C4,-0.21565217391304348,-0.41999999999999993,-0.7626086956521738,-0.4839861084314105
cachedE20_full,dmean,inf,0.5,C5,0.22347826086956513,0.3243478260869565,0.21130434782608692,0.24339185799729884
cachedE20_full,dmean,inf,0.5,C6,-0.04695652173913043,0.2652173913043478,-0.5278260869565217,-0.08672583445880766
cachedE20_full,dmean,inf,0.5,C7,-0.288695652173913,0.10782608695652171,-0.00956521739130431,-0.058781915235706486
cachedE20_full,dmean,inf,0.5,C8,-0.2799999999999999,0.04695652173913045,-0.5330434782608696,-0.26107788282204647
cachedE20_full,dmean,inf,0.5,C9,-0.5652173913043478,-0.19565217391304351,0.606086956521739,-0.04350762106887904
cachedE20_full,dmean,inf,1.0,C1,-0.47739130434782595,-0.09478260869565215,0.6939130434782608,0.014502540356293031
cachedE20_full,dmean,inf,1.0,C2,-0.5617391304347825,-0.40434782608695646,0.04956521739130437,-0.2503697987008811
cachedE20_full,dmean,inf,1.0,C3,-0.16434782608695653,0.41217391304347817,-0.23478260869565215,0.0003215640877226589
cachedE20_full,dmean,inf,1.0,C4,-0.08869565217391301,-0.49913043478260866,-0.7669565217391303,-0.4914142388578045
cachedE20_full,dmean,inf,1.0,C5,0.11217391304347812,0.2252173913043478,-0.014782608695652177,0.06868608913756508
cachedE20_full,dmean,inf,1.0,C6,0.007826086956521736,0.37478260869565216,-0.6921739130434782,-0.07518168370956334
cachedE20_full,dmean,inf,1.0,C7,-0.3678260869565217,0.3339130434782608,0.12782608695652176,0.0423178339443051
cachedE20_full,dmean,inf,1.0,C8,-0.39478260869565207,-0.019130434782608702,-0.5130434782608696,-0.3075760499067465
cachedE20_full,dmean,inf,1.0,C9,-0.8026086956521739,-0.06956521739130433,0.38,-0.15753424657534248
cachedE20_full,dmean,3.0,0.0,C1,-0.5226086956521738,-0.1660869565217391,0.3669565217391304,-0.1389478423049714
cachedE20_full,dmean,3.0,0.0,C2,-0.4591304347826086,-0.15565217391304342,0.14869565217391303,-0.1269856582416876
