mv,target,mv_lds,max_graddot_lds,pooled_delta_vs_max,paired_p,sign_consistent,qualifies
MV-A,C1,0.30391021930670786,0.242684417004309,0.06122580230239885,0.3326,False,False
MV-A,C2,0.3815036336741913,0.1994340472056081,0.18206958646858323,0.0956,False,False
MV-A,C3,0.07756125795871119,-0.07624284519904817,0.15380410315775936,0.1864,False,False
MV-A,C4,0.011833558428194741,0.35169464274229856,-0.33986108431410383,0.9888,False,False
MV-A,C5,0.23438806354106378,0.31223872917872536,-0.07785066563766158,0.7096,False,False
MV-A,C6,0.14267798572255452,0.11065020258537529,0.03202778313717923,0.4192,False,False
MV-A,C7,0.36825519326001677,0.1317448067399833,0.23651038652003348,0.0636,True,True
MV-A,C8,0.19673290886873754,-0.035468518875811955,0.2322014277445495,0.0732,False,False
MV-A,C9,0.0772396938709885,0.04421506206186893,0.03302463180911957,0.4268,False,False
MV-B,C1,0.0644414431796257,0.242684417004309,-0.1782429738246833,0.8698,False,False
MV-B,C2,0.181683709563316,0.1994340472056081,-0.017750337642292086,0.5662,False,False
MV-B,C3,-0.014341758312431672,-0.07624284519904817,0.061901086886616496,0.3524,False,False
MV-B,C4,-0.09013441378866811,0.35169464274229856,-0.44182905653096666,0.9974,False,False
MV-B,C5,-0.06238393453104129,0.31223872917872536,-0.37462266370976666,0.9894,False,False
MV-B,C6,0.036546052368313625,0.11065020258537529,-0.07410415021706167,0.6842,False,False
MV-B,C7,0.02308830149848865,0.1317448067399833,-0.10865650524149464,0.7074,False,False
MV-B,C8,0.13370634767509168,-0.035468518875811955,0.16917486655090364,0.1348,False,False
MV-B,C9,-0.16460865650524154,0.04421506206186893,-0.20882371856711046,0.895,False,False
MV-C,C1,0.09029519583252943,0.242684417004309,-0.15238922117177958,0.8388,False,False
MV-C,C2,0.30391021930670786,0.1994340472056081,0.10447617210109977,0.2336,False,False
MV-C,C3,-0.16493022059296417,-0.07624284519904817,-0.088687375393916,0.6892,False,False
MV-C,C4,-0.1319699016013892,0.35169464274229856,-0.4836645443436878,1.0,False,False
MV-C,C5,-0.012926876326451864,0.31223872917872536,-0.3251656055051772,0.9768,False,False
MV-C,C6,-0.06405556627435849,0.11065020258537529,-0.17470576885973377,0.8536,False,False
MV-C,C7,0.18171586597208828,0.1317448067399833,0.049971059232104986,0.3852,False,False
MV-C,C8,-0.09589041095890412,-0.035468518875811955,-0.06042189208309216,0.6424,False,False
MV-C,C9,-0.2125538619846936,0.04421506206186893,-0.25676892404656254,0.9302,False,False
