target,config,draws,statistic,delta,ci_lo,ci_hi,p_onesided,analysis
C5,relatif_C5,J+K+L,spearman,0.08315647308508584,-0.10031357228745108,0.28034452477149263,0.214,full_information
C5,relatif_C5,J+K+L,kendall_tau_b,0.043818466353677615,-0.08827213400852346,0.18427717258068985,0.2655,full_information
C5,relatif_C5,J+K+L,pearson_raw,0.08089535426246643,-0.08315234042210759,0.24713855964410314,0.1735,full_information
C5,relatif_C5,J+K+L,pearson_on_ranks,0.08315647308508586,-0.1096487256148217,0.2823266211362021,0.2175,full_information
C5,relatif_C5,J+K+L,top6_overlap,0.0,-0.3333333333333333,0.16666666666666666,0.9465,full_information
C5,relatif_C5,J+K+L,quartile_gap,0.24828155148808645,-0.47552062932040684,0.9877238767632879,0.3185,full_information
C5,relatif_C5,K+L,spearman,-0.0438558402084238,-0.2772413698697374,0.18132729152526922,0.6555,without_discovery_draw
C5,relatif_C5,K+L,kendall_tau_b,-0.05141843971631206,-0.1996371051978744,0.10650784152147746,0.7645,without_discovery_draw
C5,relatif_C5,K+L,pearson_raw,-0.04555262360159191,-0.23757394042422086,0.17185329945036906,0.676,without_discovery_draw
C5,relatif_C5,K+L,pearson_on_ranks,-0.04385584020842379,-0.26754308067698995,0.19174393403559198,0.6645,without_discovery_draw
C5,relatif_C5,K+L,top6_overlap,-0.16666666666666666,-0.3333333333333333,0.0,0.979,without_discovery_draw
C5,relatif_C5,K+L,quartile_gap,-0.24737468765674425,-1.075621669961115,0.5019475304829786,0.767,without_discovery_draw
C7,leverage_C7,J+K+L,spearman,0.09781979548524028,-0.20604469164159112,0.3921071756825072,0.2675,full_information
C7,leverage_C7,J+K+L,kendall_tau_b,0.08528951486697967,-0.12857543921100947,0.28594975026726066,0.2225,full_information
C7,leverage_C7,J+K+L,pearson_raw,0.18039973721796962,-0.0898868133752508,0.45151247413932694,0.0935,full_information
C7,leverage_C7,J+K+L,pearson_on_ranks,0.0978197954852402,-0.19838546576825913,0.3969366990441511,0.249,full_information
C7,leverage_C7,J+K+L,top6_overlap,-0.16666666666666666,-0.5,0.16666666666666666,0.944,full_information
C7,leverage_C7,J+K+L,quartile_gap,0.3628293688280201,-0.456339414118575,1.1898110659299634,0.156,full_information
C7,leverage_C7,J+L,spearman,0.02757273122014764,-0.34929195602954055,0.4020454754597252,0.457,without_discovery_draw
C7,leverage_C7,J+L,kendall_tau_b,0.03191489361702127,-0.23811192084632932,0.2831540644151607,0.406,without_discovery_draw
C7,leverage_C7,J+L,pearson_raw,0.18592443021339117,-0.19356411427022877,0.5258287665011119,0.1825,without_discovery_draw
C7,leverage_C7,J+L,pearson_on_ranks,0.027572731220147667,-0.31911066652078507,0.3853931514378501,0.43,without_discovery_draw
C7,leverage_C7,J+L,top6_overlap,-0.16666666666666666,-0.5,0.33333333333333337,0.769,without_discovery_draw
C7,leverage_C7,J+L,quartile_gap,0.2321549054561423,-0.7672206370468824,1.2961387002374998,0.2645,without_discovery_draw
