label,role,d,lo,hi,n,p
G  (dev),dev,0.18115942028985504,-0.052641547049441725,0.39080459770114945,24,
H  (dev),dev,0.2898550724637681,-0.10449725058915943,0.6691729323308271,24,
I  (dev),dev,0.07246376811594202,-0.2316739693144187,0.3712341437632137,24,
J  (discovery),discovery,0.18840579710144928,-0.16606930195853356,0.5168737607402513,24,
K  (oos),oos,-0.13043478260869562,-0.3629519129519129,0.09090909090909091,24,
L  (oos),oos,-0.007246376811594207,-0.2585798043711723,0.2769288389513109,24,
"M0  (oos, depth 2)",oos_m,0.05797101449275366,-0.24244728655375042,0.35521235521235517,24,
"M1  (oos, depth 2)",oos_m,0.11594202898550726,-0.17490494296577944,0.40758576329331064,24,
"M2  (oos, depth 2)",oos_m,0.14492753623188404,-0.07664314560866294,0.35881299172296816,24,
"M3  (oos, depth 2)",oos_m,0.3405797101449275,0.12073210373825174,0.5502243302140751,24,
"M4  (oos, depth 2)",oos_m,-0.0579710144927536,-0.32209737827715357,0.19477485849455103,24,
"M5  (oos, depth 2)",oos_m,-0.0217391304347826,-0.3257575757575757,0.289028742916248,24,
"pooled K+L  (pre-M, n=48)",pool,-0.05141843971631206,-0.1974411645868108,0.10335448776065276,48,0.75675
"pooled M  (virgin, n=144)",pool,0.08469308469308467,-0.004885365135440781,0.1716791331760994,144,0.03225
POOLED ALL CLEAN OOS  (n=192),grand,0.06020942408376964,-0.01653255197473156,0.13565738675461259,192,0.057
