label,role,d,lo,hi,n,p
G  (dev),dev,0.22608695652173905,-0.06749985941253182,0.5059574166401608,24,
H  (dev),dev,0.3834782608695652,-0.1422331509001051,0.8775132952551664,24,
I  (dev),dev,0.13478260869565212,-0.2169645389333551,0.4838423580080014,24,
J  (discovery),discovery,0.3408695652173912,-0.11890204865556975,0.7485740606472702,24,
K  (oos),oos,-0.1713043478260869,-0.4821942806091001,0.12069403618497959,24,
L  (oos),oos,0.0747826086956522,-0.2942296593511567,0.47207282246549287,24,
"M0  (oos, depth 2)",oos_m,0.08956521739130441,-0.27585237661726464,0.4661230109485735,24,
"M1  (oos, depth 2)",oos_m,0.18695652173913047,-0.15845162502852694,0.529604721659005,24,
"M2  (oos, depth 2)",oos_m,0.16608695652173916,-0.10498353035246338,0.4313213086373406,24,
"M3  (oos, depth 2)",oos_m,0.4678260869565217,0.16159105103817908,0.7507856203419554,24,
"M4  (oos, depth 2)",oos_m,-0.10347826086956524,-0.43823657791357495,0.23675388180429832,24,
"M5  (oos, depth 2)",oos_m,-0.07565217391304348,-0.46028028121031933,0.3446892063579428,24,
"pooled K+L  (pre-M, n=48)",pool,-0.0438558402084238,-0.26921629323049673,0.18632315311179684,48,0.659
"pooled M  (virgin, n=144)",pool,0.111128526645768,-0.013201072049398953,0.23300045080749113,144,0.0415
POOLED ALL CLEAN OOS  (n=192),grand,0.08384084312182946,-0.027341361734983048,0.1927094547140191,192,0.0645
