budget,n_masks,depth,ceiling,ratio_est_mean,paired_mean,paired_sd,ci_width_95,power_0.15,power_0.20,BEST,target
240,120,2,0.8088596110892025,0.4048200531199093,0.13239619254906393,0.07687330023617225,0.30134333692579524,0.6203533827378833,0.8306734446932982,True,C5
240,48,5,0.9082419380916953,0.3729077761347347,0.13665666220189326,0.1211316341216937,0.47483600575703927,0.34217611055393465,0.5024904733918542,False,C5
240,24,10,0.9453423577680554,0.37654640485085333,0.14543675680971183,0.18328408926895937,0.7184736299343207,0.20427387289910787,0.28990870903196103,False,C5
360,120,3,0.8666569339829714,0.3802952636385479,0.1341714719948332,0.08273477658572782,0.32432032421605306,0.5667747314700651,0.7800936450778937,True,C5
360,72,5,0.9167787999568613,0.3759377844954105,0.14286945340506943,0.10659111900843479,0.4178371865130644,0.4060929869941494,0.5915272140950276,False,C5
480,120,4,0.8968931050038187,0.37195022542327644,0.14449073120721073,0.07764334397010988,0.3043619083628307,0.6129656553664351,0.8240802492546704,True,C5
480,96,5,0.9148208460743118,0.3828561122300973,0.14413537271374893,0.08218005853903512,0.3221458294730177,0.5715833501341101,0.7848933784460626,False,C5
480,48,10,0.951180721220486,0.3734725505057259,0.15585115498109472,0.12897684189309647,0.5055892202209381,0.31495478044999803,0.4624800458586283,False,C5
720,144,5,0.9195900588580459,0.3718601172992867,0.13967478968057936,0.06959294213911565,0.27280433318533337,0.6951624749285271,0.8904642877702251,True,C5
720,120,6,0.9297837350776547,0.37904906772369984,0.1477425208735811,0.07239977633679087,0.2838071232402202,0.6653015877090607,0.868128041734088,False,C5
720,72,10,0.9543496435684687,0.3643598039135176,0.1470511481551179,0.09759611617275298,0.38257677539719165,0.4570346445758477,0.6570437319558824,False,C5
240,120,2,0.8258107000289869,0.3835287240407288,0.1939327649668419,0.11880942686210792,0.46573295329946307,0.35110921231313796,0.5153612567111195,True,C7
240,48,5,0.9137448482512298,0.352361877360185,0.19503273704759597,0.18060969552439646,0.7079900064556341,0.20772698190389538,0.29546343390173174,False,C7
240,24,10,0.9438250595273365,0.3507690796012481,0.20721746637509397,0.26697277668769853,1.0465332846157782,0.13940452501788836,0.18520287935125812,False,C7
360,120,3,0.8707410965178211,0.36551315729244815,0.19845187763754257,0.11816560328471402,0.463209164876079,0.35366339911697353,0.5190168684182821,True,C7
360,72,5,0.9138404559628942,0.35425831886605913,0.19479222941200988,0.14627948143455802,0.5734155672234674,0.2678200814168029,0.3906566942306148,False,C7
480,120,4,0.8973988434976854,0.3601818568571745,0.20640194749320298,0.11696199285475085,0.45849101199062336,0.35853189765054994,0.5259542260505863,True,C7
480,96,5,0.9151647062034969,0.3493736803799186,0.1948652122856044,0.12874991317147386,0.5046996596321776,0.31568327836822196,0.4635657208234233,False,C7
480,48,10,0.9501770073534724,0.3487881990001475,0.20732687152468982,0.17220275851324454,0.6750348133719186,0.21952825018599498,0.3143944993602362,False,C7
720,144,5,0.9203253049789641,0.3504642950943025,0.19385583350227317,0.10460704670048855,0.4100596230659151,0.4164764828336014,0.6052898496029836,True,C7
720,120,6,0.9276005597690942,0.35742697970693993,0.2009461216803652,0.11550761842883027,0.45278986424101464,0.3645819349000266,0.5345187385683067,False,C7
720,72,10,0.9528477157531163,0.35619498447353,0.20654319288774986,0.14040202237652985,0.550375927715997,0.2821410176612419,0.4127904442575018,False,C7
