config,target,draw,role,n_masks,lds,graddot_lds,ceiling,ratio,paired_delta_rho,paired_p,ci_lo,ci_hi,boot_se
relatif_C5,C5,G,dev,24,0.5895652173913043,0.36347826086956525,0.9201515812066131,0.6407261905893762,0.22608695652173905,0.0612,-0.06486859970361772,0.5052700362427781,0.14489837093875704
relatif_C5,C5,H,dev,24,0.3173913043478261,-0.06608695652173913,0.960041627043224,0.3306016066463086,0.3834782608695652,0.0734,-0.13140833006748062,0.8848125514433004,0.25920772721729796
relatif_C5,C5,I,dev,24,0.6234782608695651,0.48869565217391303,0.9614689945815773,0.6484642400152459,0.13478260869565212,0.216,-0.2195159649483662,0.48104827867308964,0.1748931042837683
relatif_C5,C5,J,discovery,24,0.5156521739130434,0.17478260869565218,0.9678053575817153,0.5328056616689116,0.3408695652173912,0.0744,-0.11711388109535553,0.749600409914422,0.21945751650650616
relatif_C5,C5,K,oos,24,-0.20347826086956516,-0.03217391304347826,0.9406965523291517,-0.21630594942200626,-0.1713043478260869,0.8628,-0.48070259931790954,0.12358820660025119,0.15581525900791848
relatif_C5,C5,L,oos,24,0.21739130434782608,0.14260869565217388,0.9584344169497008,0.22681917562986983,0.0747826086956522,0.3848,-0.2945900885219814,0.47574703936839835,0.19265768034927014
surrogate_C5,C5,G,dev,24,0.528695652173913,0.3504347826086956,0.9201515812066131,0.5745745189946029,0.17826086956521742,0.23,-0.3240488986995538,0.663751336287905,0.24592883627025977
surrogate_C5,C5,H,dev,24,0.18,-0.18173913043478263,0.960041627043224,0.18749187007064624,0.3617391304347826,0.1116,-0.19872430228827542,0.8723780238790064,0.27545224003378077
surrogate_C5,C5,I,dev,24,0.7069565217391304,0.4869565217391304,0.9614689945815773,0.7352879039503416,0.21999999999999997,0.148,-0.175367457013101,0.7008356187814717,0.22263554402551147
surrogate_C5,C5,J,discovery,24,0.46347826086956523,0.12347826086956522,0.9678053575817153,0.4788961512133726,0.34,0.1336,-0.2831116538044892,0.8766868220362307,0.29089853687131056
surrogate_C5,C5,K,oos,24,-0.31304347826086953,0.09478260869565217,0.9406965523291517,-0.33277838372616353,-0.40782608695652167,0.8826,-1.0467588076378385,0.2840937837459504,0.33854722683353866
surrogate_C5,C5,L,oos,24,0.1269565217391304,0.2121739130434782,0.9584344169497008,0.13246239856784398,-0.0852173913043478,0.6196,-0.6326052357622204,0.4161012152984627,0.2641073857592603
ensemble_C5,C5,G,dev,24,0.7295652173913043,0.36347826086956525,0.9201515812066131,0.792875035257355,0.36608695652173906,0.0158,0.02116192985758203,0.744321969595358,0.18460421854838335
ensemble_C5,C5,H,dev,24,0.32,-0.06608695652173913,0.960041627043224,0.33331888012559335,0.38608695652173913,0.0556,-0.08485959640184682,0.8497332960557724,0.23849735643924003
ensemble_C5,C5,I,dev,24,0.7017391304347826,0.48869565217391303,0.9614689945815773,0.7298614249543983,0.2130434782608696,0.0862,-0.08367633491765016,0.5447181803201407,0.1604869552971508
ensemble_C5,C5,K,oos,24,-0.39652173913043476,-0.03217391304347826,0.9406965523291517,-0.4215192860531405,-0.3643478260869565,0.9628,-0.7647259387697004,0.0358571894935578,0.20243511921116916
ensemble_C5,C5,L,oos,24,0.21739130434782608,0.14260869565217388,0.9584344169497008,0.22681917562986983,0.0747826086956522,0.363,-0.354744302917924,0.43967398096940435,0.2013035369417647
leverage_C7,C7,G,dev,24,0.39739130434782605,0.31913043478260866,0.9387064523571482,0.42333927006675265,0.07826086956521738,0.3296,-0.2968201019851076,0.433710839986766,0.18165548620650704
leverage_C7,C7,H,dev,24,0.36173913043478256,-0.21913043478260866,0.9713993653768341,0.3723897125405815,0.5808695652173912,0.0376,-0.05961875547765118,1.1037263051873305,0.29943541175127975
leverage_C7,C7,I,dev,24,0.39652173913043476,0.16086956521739126,0.9514778084511322,0.41674302396596574,0.2356521739130435,0.0764,-0.08257761547337807,0.5730781739409491,0.16486162748320218
leverage_C7,C7,J,oos,24,0.14869565217391303,0.37304347826086953,0.9566043917666076,0.15544111385408715,-0.2243478260869565,0.7686,-0.8108932352051619,0.38958817209359803,0.3018587670951505
leverage_C7,C7,K,discovery,24,0.4156521739130434,0.12956521739130433,0.9695340501792113,0.4287133327975568,0.28608695652173904,0.208,-0.36643777967390845,0.924032940660237,0.3325532151087352
leverage_C7,C7,L,oos,24,0.40956521739130425,0.13739130434782607,0.9369272870002859,0.4371366092907691,0.27217391304347816,0.1152,-0.19780267662620604,0.7255977486306657,0.234429829044665
