stage,axis,target,statistic,n_masks,seed_depth,paired_sd,n_subsamples,n_available
allocation,masks,C5,kendall_tau_b,10,2,0.2673991669142027,400,40
allocation,masks,C5,kendall_tau_b,15,2,0.1826434017650421,400,40
allocation,masks,C5,kendall_tau_b,20,2,0.13502738960236058,400,40
allocation,masks,C5,kendall_tau_b,25,2,0.10036022515933048,400,40
allocation,masks,C5,kendall_tau_b,30,2,0.07819924920367316,400,40
allocation,masks,C5,kendall_tau_b,40,2,5.55806705462024e-17,400,40
allocation,seeds,C5,kendall_tau_b,7,1,0.3531441305506236,400,7
allocation,seeds,C5,kendall_tau_b,7,2,0.2231490280548058,400,7
allocation,seeds,C5,kendall_tau_b,7,3,0.0999448469460917,400,7
allocation,seeds,C5,kendall_tau_b,7,4,0.0,400,7
allocation,masks,C5,spearman,10,2,0.33433308435887044,400,40
allocation,masks,C5,spearman,15,2,0.23704846409916192,400,40
allocation,masks,C5,spearman,20,2,0.18593430645689588,400,40
allocation,masks,C5,spearman,25,2,0.1379431776090825,400,40
allocation,masks,C5,spearman,30,2,0.11343503609468684,400,40
allocation,masks,C5,spearman,40,2,2.223226821848096e-16,400,40
allocation,seeds,C5,spearman,7,1,0.45693719353078516,400,7
allocation,seeds,C5,spearman,7,2,0.298359315658638,400,7
allocation,seeds,C5,spearman,7,3,0.13245123403681391,400,7
allocation,seeds,C5,spearman,7,4,0.0,400,7
allocation,masks,C7,kendall_tau_b,10,2,0.202090976883737,400,40
allocation,masks,C7,kendall_tau_b,15,2,0.13492465517307806,400,40
allocation,masks,C7,kendall_tau_b,20,2,0.10491859009872151,400,40
allocation,masks,C7,kendall_tau_b,25,2,0.08043611467657574,400,40
allocation,masks,C7,kendall_tau_b,30,2,0.05592098690950241,400,40
allocation,masks,C7,kendall_tau_b,40,2,1.111613410924048e-16,400,40
allocation,seeds,C7,kendall_tau_b,6,1,0.5721441992248674,400,6
allocation,seeds,C7,kendall_tau_b,6,2,3.334840232772144e-16,400,6
allocation,seeds,C7,kendall_tau_b,6,3,3.334840232772144e-16,400,6
allocation,seeds,C7,kendall_tau_b,6,4,3.334840232772144e-16,400,6
allocation,masks,C7,spearman,10,2,0.2709314461964125,400,40
allocation,masks,C7,spearman,15,2,0.18119727120918494,400,40
allocation,masks,C7,spearman,20,2,0.13141896949063328,400,40
allocation,masks,C7,spearman,25,2,0.10329457847622175,400,40
allocation,masks,C7,spearman,30,2,0.07040407076638586,400,40
allocation,masks,C7,spearman,40,2,0.0,400,40
allocation,seeds,C7,spearman,6,1,0.5335051507110088,400,6
allocation,seeds,C7,spearman,6,2,0.0888469633704887,400,6
allocation,seeds,C7,spearman,6,3,0.0969172122633659,400,6
allocation,seeds,C7,spearman,6,4,0.0,400,6
