stage,target,statistic,split_half_r,spearman_brown,n_masks,n_splits
statistic,C1,kendall_tau_b,0.38095238095238093,0.5517241379310345,8,3
statistic,C1,spearman,0.5079365079365079,0.6736842105263158,8,3
statistic,C2,kendall_tau_b,0.3333333333333333,0.5,6,3
statistic,C2,spearman,0.27450980392156865,0.43076923076923085,6,3
statistic,C3,kendall_tau_b,0.7333333333333333,0.846153846153846,7,3
statistic,C3,spearman,0.8424242424242424,0.9144736842105263,7,3
statistic,C4,kendall_tau_b,0.28571428571428575,0.4444444444444445,6,3
statistic,C4,spearman,0.27450980392156865,0.43076923076923085,6,3
statistic,C5,kendall_tau_b,0.4666666666666666,0.6363636363636364,7,3
statistic,C5,spearman,0.5636363636363636,0.7209302325581396,7,3
statistic,C6,kendall_tau_b,0.15555555555555556,0.2692307692307693,6,3
statistic,C6,spearman,0.12380952380952381,0.22033898305084745,6,3
statistic,C7,kendall_tau_b,0.7142857142857144,0.8333333333333334,6,3
statistic,C7,spearman,0.8431372549019609,0.9148936170212767,6,3
statistic,C8,kendall_tau_b,0.6666666666666666,0.8,8,3
statistic,C8,spearman,0.8253968253968255,0.9043478260869565,8,3
statistic,C9,kendall_tau_b,0.19999999999999996,0.33333333333333326,6,3
statistic,C9,spearman,0.2380952380952381,0.38461538461538464,6,3
