config,label,frozen,target,outcome,statistic,grain,draw,provenance,n_masks,conditional,rho,rho_baseline,delta,delta_ci_lo,delta_ci_hi,delta_p_boot_onesided,p_onesided_rho
relatif_C5,"RelatIF K/G_dd (cached E=20, unitL2)",PREREG_J c7659cf,C5,neg_plain_loss,kendall_tau_b,cluster,stage_F,OOS by construction (Stage F never used for attribution),40,True,-0.2238033635187581,0.2393272962483829,-0.46313065976714096,-0.7277745379029792,-0.2192234043300755,1.0,0.9781803209433978
relatif_C5,"RelatIF K/G_dd (cached E=20, unitL2)",PREREG_J c7659cf,C5,neg_plain_loss,kendall_tau_b,cluster,stage_F,OOS by construction (Stage F never used for attribution),72,False,-0.029110936270653035,0.1746656176239182,-0.20377655389457122,-0.4070482829550234,0.01198561725928885,0.969,0.6405207311826094
relatif_C5,"RelatIF K/G_dd (cached E=20, unitL2)",PREREG_J c7659cf,C5,neg_plain_loss,spearman,cluster,stage_F,OOS by construction (Stage F never used for attribution),40,True,-0.3509809443349291,0.3468506523983854,-0.6978315967333145,-1.0412263809271898,-0.32659353381152306,1.0,0.9868104142270007
relatif_C5,"RelatIF K/G_dd (cached E=20, unitL2)",PREREG_J c7659cf,C5,neg_plain_loss,spearman,cluster,stage_F,OOS by construction (Stage F never used for attribution),72,False,-0.046026181209996464,0.25364253320896724,-0.2996687144189637,-0.5851397562920523,0.016775907932583295,0.9678,0.6494787404766607
surrogate_C5,"exact frozen-trunk surrogate-LOO (regen E=5 head, lam=1e-3)",PREREG_J c7659cf,C5,neg_plain_loss,kendall_tau_b,cluster,stage_F,OOS by construction (Stage F never used for attribution),40,True,-0.07891332470892626,0.1979301423027167,-0.276843467011643,-0.5818222948636673,0.0349968171401549,0.9628,0.7615775790426234
surrogate_C5,"exact frozen-trunk surrogate-LOO (regen E=5 head, lam=1e-3)",PREREG_J c7659cf,C5,neg_plain_loss,kendall_tau_b,cluster,stage_F,OOS by construction (Stage F never used for attribution),72,False,0.5106215578284815,0.0896931549960661,0.4209284028324154,0.21097993795781847,0.6309977778571045,0.0002,1.3774247280772224e-10
surrogate_C5,"exact frozen-trunk surrogate-LOO (regen E=5 head, lam=1e-3)",PREREG_J c7659cf,C5,neg_plain_loss,spearman,cluster,stage_F,OOS by construction (Stage F never used for attribution),40,True,-0.11424012015394726,0.30122970055383463,-0.4154698207077819,-0.816886077565561,0.0378831440768371,0.964,0.7586323822395054
surrogate_C5,"exact frozen-trunk surrogate-LOO (regen E=5 head, lam=1e-3)",PREREG_J c7659cf,C5,neg_plain_loss,spearman,cluster,stage_F,OOS by construction (Stage F never used for attribution),72,False,0.7432054292238913,0.14402881862918532,0.5991766105947061,0.31824377263771236,0.8662458812413651,0.0,3.8339250651883464e-14
ensemble_C5,z-avg ensemble of RelatIF + surrogate-LOO,PREREG_L 2a1f4e0 (selected on G/H/I dev only),C5,neg_plain_loss,kendall_tau_b,cluster,stage_F,OOS by construction (Stage F never used for attribution),40,True,-0.2393272962483829,0.2393272962483829,-0.4786545924967658,-0.7446886628980485,-0.23025196022183975,1.0,0.9845159848864017
ensemble_C5,z-avg ensemble of RelatIF + surrogate-LOO,PREREG_L 2a1f4e0 (selected on G/H/I dev only),C5,neg_plain_loss,kendall_tau_b,cluster,stage_F,OOS by construction (Stage F never used for attribution),72,False,0.4209284028324155,0.1746656176239182,0.24626278520849731,0.05084032174030959,0.4538590489501009,0.009,9.791582381809652e-08
ensemble_C5,z-avg ensemble of RelatIF + surrogate-LOO,PREREG_L 2a1f4e0 (selected on G/H/I dev only),C5,neg_plain_loss,spearman,cluster,stage_F,OOS by construction (Stage F never used for attribution),40,True,-0.345160987515254,0.3468506523983854,-0.6920116399136393,-1.026349379102739,-0.3325898087172893,1.0,0.9854192041186057
ensemble_C5,z-avg ensemble of RelatIF + surrogate-LOO,PREREG_L 2a1f4e0 (selected on G/H/I dev only),C5,neg_plain_loss,spearman,cluster,stage_F,OOS by construction (Stage F never used for attribution),72,False,0.6651120903155254,0.25364253320896724,0.4114695571065582,0.14874840137140435,0.6783504119177383,0.002,9.30279160218723e-11
leverage_C7,"leverage family lam_rel=1 beta=1 (cached E=20, dmean)",PREREG_K 5a5d554 (selected on G/H/I dev only),C7,neg_plain_loss,kendall_tau_b,cluster,stage_F,OOS by construction (Stage F never used for attribution),40,True,-0.19844357976653695,0.4267185473411154,-0.6251621271076524,-0.8335719931357121,-0.4300975442799694,1.0,0.9628512947625999
leverage_C7,"leverage family lam_rel=1 beta=1 (cached E=20, dmean)",PREREG_K 5a5d554 (selected on G/H/I dev only),C7,neg_plain_loss,kendall_tau_b,cluster,stage_F,OOS by construction (Stage F never used for attribution),72,False,-0.05979543666404406,0.3752950432730134,-0.43509047993705746,-0.6268520308485254,-0.23694409638554223,1.0,0.7700930949092346
leverage_C7,"leverage family lam_rel=1 beta=1 (cached E=20, dmean)",PREREG_K 5a5d554 (selected on G/H/I dev only),C7,neg_plain_loss,spearman,cluster,stage_F,OOS by construction (Stage F never used for attribution),40,True,-0.2875786311144493,0.6054830532344381,-0.8930616843488874,-1.1388000821129518,-0.6122262580313589,1.0,0.9640188620769351
leverage_C7,"leverage family lam_rel=1 beta=1 (cached E=20, dmean)",PREREG_K 5a5d554 (selected on G/H/I dev only),C7,neg_plain_loss,spearman,cluster,stage_F,OOS by construction (Stage F never used for attribution),72,False,-0.08877167025827411,0.5367791322247597,-0.6255508024830339,-0.882232397397064,-0.33427686120146044,1.0,0.7708155521638844
