estimator,grain,target,campaign,statistic,primary,stratum,n_masks,depth,n_coef,lds,graddot_lds,ceiling,ratio,graddot_ratio,paired_delta,note,depth_achieved,alpha_median,alpha_n_distinct,ratio_sqrt,graddot_ratio_sqrt,perm_control_mean,perm_control_max_abs,paired_p,ci_lo,ci_hi
datamodel_ridge,cluster,C5,N,kendall_tau_b,True,4of9,56,4,9,0.5298701298701299,0.20779220779220783,0.505338078291815,1.0485458203768063,0.4111944393634535,0.3220779220779221,"WITHIN-STRATUM: |S| constant, so the training-set-size effect is differenced out. This is the honest attribution number.",,,,,,,,,,
datamodel_ridge,cluster,C5,N,spearman,False,4of9,56,4,9,0.6831168831168831,0.2907723855092276,0.6483115443248488,1.0536861314544084,0.4485071846314842,0.3923444976076555,"WITHIN-STRATUM: |S| constant, so the training-set-size effect is differenced out. This is the honest attribution number.",,,,,,,,,,
datamodel_ridge,cluster,C5,N,kendall_tau_b,True,5of9,37,4,9,0.5645645645645646,0.25825825825825827,0.5210954848260547,1.0834186459186461,0.4956064018564019,0.30630630630630634,"WITHIN-STRATUM: |S| constant, so the training-set-size effect is differenced out. This is the honest attribution number.",,,,,,,,,,
datamodel_ridge,cluster,C5,N,spearman,False,5of9,37,4,9,0.7434803224276907,0.40445708866761493,0.6675792355480678,1.1136959971759903,0.6058563045861733,0.33902323376007576,"WITHIN-STRATUM: |S| constant, so the training-set-size effect is differenced out. This is the honest attribution number.",,,,,,,,,,
datamodel_ridge,cluster,C5,N,kendall_tau_b,True,6of9,56,4,9,0.5441558441558442,0.16883116883116886,0.5324015247776367,1.022077922077922,0.31711248179028606,0.3753246753246753,"WITHIN-STRATUM: |S| constant, so the training-set-size effect is differenced out. This is the honest attribution number.",,,,,,,,,,
datamodel_ridge,cluster,C5,N,spearman,False,6of9,56,4,9,0.7474367737525632,0.2550922761449077,0.6878727634194831,1.0865916103975124,0.3708422395979439,0.49234449760765553,"WITHIN-STRATUM: |S| constant, so the training-set-size effect is differenced out. This is the honest attribution number.",,,,,,,,,,
datamodel_ridge,cluster,C5,N,kendall_tau_b,True,"POOLED (confounded by |S|, see note)",149,4,9,0.6785779067658261,0.47469617268274983,0.6715129121651471,1.010521010799181,0.7069055026093176,0.20388173408307625,"leave-one-mask-out, alpha refit inside every fold; outcome-consuming estimator so the in-sample number is not reported at all",5.0,0.0001,4.0,0.8280804503494784,0.5792800156547943,0.42545800834391445,0.46054779611826585,0.0,0.13486472805095978,0.26656959542036246
datamodel_ridge,cluster,C5,N,spearman,False,"POOLED (confounded by |S|, see note)",149,4,9,0.8571775802648286,0.678860874297116,0.8141306241678158,1.0528747535335798,0.8338476089030931,0.17831670596771265,"leave-one-mask-out, alpha refit inside every fold; outcome-consuming estimator so the in-sample number is not reported at all",5.0,0.0001,4.0,0.9500003334503846,0.7523739208734667,0.42545800834391445,0.46054779611826585,0.0,0.1060058010794975,0.2475213041719159
datamodel_lasso,cluster,C5,N,kendall_tau_b,True,4of9,56,4,9,0.5298701298701299,0.20779220779220783,0.505338078291815,1.0485458203768063,0.4111944393634535,0.3220779220779221,"WITHIN-STRATUM: |S| constant, so the training-set-size effect is differenced out. This is the honest attribution number.",,,,,,,,,,
datamodel_lasso,cluster,C5,N,spearman,False,4of9,56,4,9,0.6831168831168831,0.2907723855092276,0.6483115443248488,1.0536861314544084,0.4485071846314842,0.3923444976076555,"WITHIN-STRATUM: |S| constant, so the training-set-size effect is differenced out. This is the honest attribution number.",,,,,,,,,,
datamodel_lasso,cluster,C5,N,kendall_tau_b,True,5of9,37,4,9,0.5645645645645646,0.25825825825825827,0.5210954848260547,1.0834186459186461,0.4956064018564019,0.30630630630630634,"WITHIN-STRATUM: |S| constant, so the training-set-size effect is differenced out. This is the honest attribution number.",,,,,,,,,,
datamodel_lasso,cluster,C5,N,spearman,False,5of9,37,4,9,0.7434803224276907,0.40445708866761493,0.6675792355480678,1.1136959971759903,0.6058563045861733,0.33902323376007576,"WITHIN-STRATUM: |S| constant, so the training-set-size effect is differenced out. This is the honest attribution number.",,,,,,,,,,
datamodel_lasso,cluster,C5,N,kendall_tau_b,True,6of9,56,4,9,0.5441558441558442,0.16883116883116886,0.5324015247776367,1.022077922077922,0.31711248179028606,0.3753246753246753,"WITHIN-STRATUM: |S| constant, so the training-set-size effect is differenced out. This is the honest attribution number.",,,,,,,,,,
datamodel_lasso,cluster,C5,N,spearman,False,6of9,56,4,9,0.7474367737525632,0.2550922761449077,0.6878727634194831,1.0865916103975124,0.3708422395979439,0.49234449760765553,"WITHIN-STRATUM: |S| constant, so the training-set-size effect is differenced out. This is the honest attribution number.",,,,,,,,,,
datamodel_lasso,cluster,C5,N,kendall_tau_b,True,"POOLED (confounded by |S|, see note)",149,4,9,0.6794848539814982,0.47469617268274983,0.6715129121651471,1.0118716135936199,0.7069055026093176,0.20478868129874833,"leave-one-mask-out, alpha refit inside every fold; outcome-consuming estimator so the in-sample number is not reported at all",5.0,0.0001,1.0,0.8291872138490101,0.5792800156547943,0.4260384545619444,0.4598222383457282,0.0,0.13498888042358484,0.2682888357552058
datamodel_lasso,cluster,C5,N,spearman,False,"POOLED (confounded by |S|, see note)",149,4,9,0.8571122800653003,0.678860874297116,0.8141306241678158,1.0527945450294531,0.8338476089030931,0.17825140576818432,"leave-one-mask-out, alpha refit inside every fold; outcome-consuming estimator so the in-sample number is not reported at all",5.0,0.0001,1.0,0.9499279619689617,0.7523739208734667,0.4260384545619444,0.4598222383457282,0.0,0.10538773491339755,0.2481568431951668
