Q,outcome,attributor,rho,ceiling_4seed,ratio,p_onesided
15,neg_plain_loss,IF,0.30069930069930073,0.8914728682170544,0.3373061720887808,0.17112976447001219
15,neg_plain_loss,TRAK,0.3216783216783217,0.8914728682170544,0.36083916083916084,0.15395493809032632
15,neg_plain_loss,TracIn,0.4755244755244756,0.8914728682170544,0.5334144116752813,0.059087978506516106
15,logit_success,IF,0.06293706293706294,0.6900763358778625,0.09120304474286776,0.42296546061438944
15,logit_success,TRAK,0.06993006993006995,0.6900763358778625,0.1013367163809642,0.4145118202656546
15,logit_success,TracIn,-0.18881118881118883,0.6900763358778625,-0.2736091342286033,0.7216314719115843
50,neg_plain_loss,IF,0.0979020979020979,0.9152970922882427,0.10696209867480586,0.3810608279981496
50,neg_plain_loss,TRAK,0.4055944055944056,0.9152970922882427,0.44312869450991,0.09541793700225018
50,neg_plain_loss,TracIn,0.3706293706293707,0.9152970922882427,0.4049279449831937,0.11781050175632284
50,logit_success,IF,0.0,0.7529069767441862,0.0,0.5
50,logit_success,TRAK,0.2657342657342658,0.7529069767441862,0.35294435294435295,0.2019165441573558
50,logit_success,TracIn,-0.34965034965034975,0.7529069767441862,-0.46440046440046445,0.867380606553605
150,neg_plain_loss,IF,-0.21678321678321683,0.8605577689243028,-0.25191012691012693,0.7507220072379057
150,neg_plain_loss,TRAK,-0.04195804195804196,0.8605577689243028,-0.04875679875679876,0.5515070645902229
150,neg_plain_loss,TracIn,-0.5174825174825175,0.8605577689243028,-0.6013338513338513,0.9575656144330327
150,logit_success,IF,-0.04895104895104895,-0.5611940298507463,,0.5600407105606626
150,logit_success,TRAK,-0.4055944055944056,-0.5611940298507463,,0.9045820629977498
150,logit_success,TracIn,-0.1188811188811189,-0.5611940298507463,,0.643557890392614
