rule,g,target,attributor,focal,lds,p_onesided,n_masks,ci_lo,ci_hi,ceiling,bar_half_ceiling,ratio,PASS
random,1,C1,IF,True,0.25565217391304346,0.11395917792752588,24,-0.2024704853519895,0.6298730519044609,0.9327641408751334,0.4663820704375667,0.2740801910257686,False
random,1,C1,TRAK,True,-0.07130434782608694,0.6297126564116028,24,-0.44319876395534297,0.33785461540396855,0.9327641408751334,0.4663820704375667,-0.07644413491194904,False
random,1,C1,TracIn,True,0.368695652173913,0.03812484423954127,24,-0.05358566985740694,0.7149385679144437,0.9327641408751334,0.4663820704375667,0.39527211222763897,False
random,1,C2,IF,False,0.16173913043478258,0.22510944242318542,24,-0.278393736368657,0.5408136482939625,0.9115002366303833,0.45575011831519163,0.17744277394013272,False
random,1,C2,TRAK,False,0.049565217391304345,0.40904689480153544,24,-0.3611219293490989,0.46126849091928035,0.9115002366303833,0.45575011831519163,0.05437762427197616,False
random,1,C2,TracIn,False,0.46434782608695646,0.011129926756996847,24,0.036217386539090166,0.7978291252752076,0.9115002366303833,0.45575011831519163,0.5094324800216714,True
random,1,C3,IF,False,-0.2217391304347826,0.8511410712641203,24,-0.5587057885600328,0.1719871345029237,0.6441876915821739,0.32209384579108696,-0.34421509962441915,False
random,1,C3,TRAK,False,-0.3060869565217391,0.9271162952067029,24,-0.6038742853443667,0.09899802700896645,0.6441876915821739,0.32209384579108696,-0.47515182379527665,False
random,1,C3,TracIn,False,-0.11391304347826085,0.7019429746652933,24,-0.5081239344350325,0.3062529609688115,0.6441876915821739,0.32209384579108696,-0.1768320707874467,False
random,1,C4,IF,False,-0.2121739130434782,0.8402143888556597,24,-0.54196542893726,0.18604998491884017,0.7945492662473793,0.39727463312368966,-0.26703682459561773,False
random,1,C4,TRAK,False,-0.04434782608695652,0.5815115079674701,24,-0.46765255742529704,0.41150404769592647,0.7945492662473793,0.39727463312368966,-0.05581507399334634,False
random,1,C4,TracIn,False,0.2417391304347826,0.12755323310886668,24,-0.18408403191011888,0.642334004400812,0.7945492662473793,0.39727463312368966,0.3042468739245153,False
random,1,C5,IF,True,0.38,0.0335028053149912,24,-0.014032399299474602,0.64655576309842,0.9177998400225849,0.45889992001129243,0.4140336306777403,False
random,1,C5,TRAK,True,0.03217391304347826,0.4406808560142436,24,-0.34390110512696587,0.43784978089228094,0.9177998400225849,0.45889992001129243,0.03505547902763476,False
random,1,C5,TracIn,True,0.24608695652173912,0.12319732422242417,24,-0.1596871897537565,0.6317049531652578,0.9177998400225849,0.45889992001129243,0.26812704229244966,False
random,1,C6,IF,False,-0.20434782608695648,0.830921375743412,24,-0.5792643689648811,0.2397419072615922,0.940385146963973,0.4701925734819865,-0.21730226891257484,False
random,1,C6,TRAK,False,0.04347826086956521,0.42006649205746666,24,-0.4308112375631319,0.4851489828090118,0.940385146963973,0.4701925734819865,0.04623452530054784,False
random,1,C6,TracIn,False,0.010434782608695651,0.4807019363886902,24,-0.46813867049223085,0.4584345671849389,0.940385146963973,0.4701925734819865,0.011096286072131483,False
random,1,C7,IF,False,0.21565217391304345,0.15575722456425548,24,-0.21054240550959233,0.5746263678540775,0.9151966795585321,0.45759833977926606,0.23563478619379238,False
random,1,C7,TRAK,False,0.3834782608695652,0.03217069904610962,24,-0.08245183937406139,0.7216939966488652,0.9151966795585321,0.45759833977926606,0.4190118577075099,False
random,1,C7,TracIn,False,0.38434782608695645,0.03184411200906028,24,-0.06428656880941533,0.6956711849584609,0.9151966795585321,0.45759833977926606,0.4199619979744203,False
random,1,C8,IF,False,-0.3313043478260869,0.9431122532625987,24,-0.6461419262470952,0.06089438308798682,0.9097459233978006,0.4548729616989003,-0.3641723906700255,False
random,1,C8,TRAK,False,0.3217391304347825,0.06261972933243162,24,-0.08878247575952593,0.6873629040734617,0.9097459233978006,0.4548729616989003,0.3536582271598672,False
random,1,C8,TracIn,False,-0.2452173913043478,0.8759393504622491,24,-0.5556731286460218,0.18114211084191376,0.9097459233978006,0.4548729616989003,-0.26954491907860156,False
random,1,C9,IF,False,0.02434782608695652,0.4550437100394768,24,-0.41100920149509906,0.4161737185337207,0.8945496491396712,0.4472748245698356,0.02721797064072735,False
