E,attributor,split_half_reliability_mean_over_9_targets,per_target_reliability,SB_extrapolated_E_for_0.8,demo_lds_C1,ratio_C1,demo_lds_C5,ratio_C5,intrusion_C1_mean,intrusion_C1_sd_across_subensembles,top15_jaccard_mean_across_subensembles,n_distinct_top15_sets
2,IF,0.17415806587975158,"{'C1': 0.25656470100478007, 'C2': 0.1607433665008292, 'C3': 0.060263364549800025, 'C4': 0.11785174617110528, 'C5': 0.22285962345137061, 'C6': 0.17836569602965568, 'C7': 0.17453931323773295, 'C8': 0.17367386108672328, 'C9': 0.2225609208857673}",37.935282753562774,0.25565217391304346,0.2740801910257686,0.36173913043478256,0.3941372777161097,0.5573333333333335,0.12666271923673691,0.17229087249554856,19
2,TRAK,0.13406916669376429,"{'C1': 0.11052148570871136, 'C2': 0.18179765388742564, 'C3': 0.05361562286606185, 'C4': 0.11736725685298996, 'C5': 0.13132999219588334, 'C6': 0.14364479075212175, 'C7': 0.21949507365135112, 'C8': 0.09456082333430885, 'C9': 0.1542898009950249}",51.67069235444193,0.23217391304347823,0.24890956123768776,0.005217391304347826,0.005684672274751582,0.42083333333333334,0.16533005709119494,0.1269757260906423,19
2,TracIn,0.3255265638040734,"{'C1': 0.2810051214515657, 'C2': 0.37450248756218907, 'C3': 0.07738327968003123, 'C4': 0.2624931226221833, 'C5': 0.17620666276460833, 'C6': 0.4573876207199298, 'C7': 0.4982297092966541, 'C8': 0.3500357526095016, 'C9': 0.45249531752999717}",16.57556737156175,0.4278260869565217,0.4586648094716943,0.20608695652173914,0.2245445548526875,0.5651666666666667,0.16204157559781449,0.2266374312149127,19
5,IF,0.18817593676497688,"{'C1': 0.2207775338991318, 'C2': 0.18765635059994148, 'C3': 0.07656292069066434, 'C4': 0.14791325236562286, 'C5': 0.23522914837576825, 'C6': 0.1449506877377817, 'C7': 0.24737769485903818, 'C8': 0.2126248902546093, 'C9': 0.22049095210223396}",86.283515011694,0.3417391304347826,0.36637250024873147,0.0,0.0,0.5211666666666666,0.16877178871679552,0.18938030355754562,38
5,TRAK,0.19589212705535508,"{'C1': 0.19033238220661403, 'C2': 0.24513764510779437, 'C3': 0.0806081357916301, 'C4': 0.17450392644620039, 'C5': 0.1692703638669398, 'C6': 0.2113324553702078, 'C7': 0.296227099795142, 'C8': 0.14962471953955714, 'C9': 0.2459924153741099}",82.09700767784514,-0.02434782608695652,-0.026102875335787486,-0.2826086956521739,-0.3079197482157107,0.3721666666666667,0.17518728074073567,0.2014612234563161,41
5,TracIn,0.4488136794242296,"{'C1': 0.4219618329919033, 'C2': 0.49935947712418305, 'C3': 0.06422219783435763, 'C4': 0.3798637693883524, 'C5': 0.24944715149741492, 'C6': 0.666544898058726, 'C7': 0.684073748902546, 'C8': 0.47473692810457524, 'C9': 0.5991131109160083}",24.561921610004035,0.4339130434782608,0.46519052830564117,0.19217391304347822,0.20938542878668326,0.5671666666666666,0.13547662775057057,0.3163083832369476,41
10,IF,0.19897376136745468,"{'C1': 0.15395019998048973, 'C2': 0.18845995512632918, 'C3': 0.12274129353233831, 'C4': 0.2041799824407375, 'C5': 0.22131245732123694, 'C6': 0.08470668715247294, 'C7': 0.33859340552141254, 'C8': 0.2243297970929666, 'C9': 0.2524900741391084}",161.03153162054383,0.25565217391304346,0.2740801910257686,0.38,0.4140336306777403,0.5821666666666667,0.13582065380493497,0.22155325823785907,50
10,TRAK,0.2983703812094214,"{'C1': 0.3026604233733295, 'C2': 0.34921200370695543, 'C3': 0.1403119939518096, 'C4': 0.28670593112867043, 'C5': 0.2647712174422008, 'C6': 0.31713557213930355, 'C7': 0.40241778850843823, 'C8': 0.23947927031509125, 'C9': 0.3826392303189932}",94.06156414675975,-0.07130434782608694,-0.07644413491194904,0.03217391304347826,0.03505547902763476,0.2723333333333333,0.12417997691522842,0.2782852639334777,50
10,TracIn,0.6786574480538484,"{'C1': 0.6841849087893864, 'C2': 0.7242152960686764, 'C3': 0.2928721588137743, 'C4': 0.6277613159691738, 'C5': 0.5596424251292558, 'C6': 0.862047458784509, 'C7': 0.8756740074139109, 'C8': 0.665968173836699, 'C9': 0.8155512876792508}",18.939896872429493,0.368695652173913,0.39527211222763897,0.24608695652173912,0.26812704229244966,0.6065,0.08585016016292572,0.5137138168664594,49
20,IF,0.2540351618812257,"{'C1': 0.20613142620232175, 'C2': 0.23672422202711935, 'C3': 0.18178541117939717, 'C4': 0.2439614915617989, 'C5': 0.2496563749878061, 'C6': 0.07856026241342308, 'C7': 0.4559995854063018, 'C8': 0.3015505560433129, 'C9': 0.3319471271095503}",234.91703513627792,0.32260869565217387,0.34586309819918415,0.40956521739130425,0.44624677356799913,0.589,0.1124035388924902,0.31407613208986646,50
