target,focal,estimator,family,rho,ceiling_median_SB,bar,ratio,p_onesided,ceiling_usable,PASS
C1,True,TracIn_diffE5_normalized,CHAMPION,0.477391304347826,0.569295844737497,0.2846479223687485,0.8385645332927939,0.009160785730716742,True,True
C1,True,TracIn_diffE5_unnormalized,descriptive,0.49999999999999994,0.569295844737497,0.2846479223687485,0.8782779720279719,0.0064227104840028845,True,
C1,True,TRAK_diffE5_normalized,descriptive,0.25304347826086954,0.569295844737497,0.2846479223687485,0.4444850258437214,0.11643178265247717,True,
C1,True,IF_diffE5_normalized,descriptive,0.3504347826086956,0.569295844737497,0.2846479223687485,0.6155583003952567,0.046591085829908535,True,
C2,False,TracIn_diffE5_normalized,CHAMPION,0.3104347826086956,0.5758010013622772,0.2879005006811386,0.5391355379275888,0.0699200079144807,False,False
C2,False,TracIn_diffE5_unnormalized,descriptive,0.32260869565217387,0.5758010013622772,0.2879005006811386,0.5602781080423962,0.06208200577795402,False,
C2,False,TRAK_diffE5_normalized,descriptive,-0.308695652173913,0.5758010013622772,0.2879005006811386,-0.5361151707683306,0.9289050427849763,False,
C2,False,IF_diffE5_normalized,descriptive,0.12956521739130433,0.5758010013622772,0.2879005006811386,0.22501735336473594,0.27311963462929156,False,
C3,False,TracIn_diffE5_normalized,CHAMPION,-0.013043478260869565,0.49366591194027054,0.24683295597013527,-0.02642167090209728,0.5241176565998498,True,False
C3,False,TracIn_diffE5_unnormalized,descriptive,0.003478260869565217,0.49366591194027054,0.24683295597013527,0.007045778907225941,0.49356523673218106,True,
C3,False,TRAK_diffE5_normalized,descriptive,-0.13652173913043478,0.49366591194027054,0.24683295597013527,-0.2765468221086182,0.7376451902760786,True,
C3,False,IF_diffE5_normalized,descriptive,-0.04608695652173912,0.49366591194027054,0.24683295597013527,-0.09335657052074371,0.5846638280338823,True,
C4,False,TracIn_diffE5_normalized,CHAMPION,0.19043478260869565,0.7003551824346141,0.35017759121730707,0.27191172048830353,0.1863763889213566,True,False
C4,False,TracIn_diffE5_unnormalized,descriptive,0.2008695652173913,0.7003551824346141,0.35017759121730707,0.28681099284382705,0.1733102513674894,True,
C4,False,TRAK_diffE5_normalized,descriptive,-0.09478260869565217,0.7003551824346141,0.35017759121730707,-0.13533505722933828,0.6702284606154314,True,
C4,False,IF_diffE5_normalized,descriptive,0.32347826086956516,0.7003551824346141,0.35017759121730707,0.4618774430212279,0.06154763910963067,True,
C5,True,TracIn_diffE5_normalized,CHAMPION,0.07217391304347825,0.6635676932016269,0.33178384660081345,0.1087664661539633,0.36875949204762914,True,False
C5,True,TracIn_diffE5_unnormalized,descriptive,0.05565217391304347,0.6635676932016269,0.33178384660081345,0.08386811848016447,0.3980937497627756,True,
C5,True,TRAK_diffE5_normalized,descriptive,-0.29478260869565215,0.6635676932016269,0.33178384660081345,-0.44423894007462117,0.9189947018021656,True,
C5,True,IF_diffE5_normalized,descriptive,0.06956521739130435,0.6635676932016269,0.33178384660081345,0.1048351481002056,0.3733487420892544,True,
C6,False,TracIn_diffE5_normalized,CHAMPION,0.35739130434782607,0.7401205102120666,0.3700602551060333,0.4828825838719465,0.04321487841069335,True,False
C6,False,TracIn_diffE5_unnormalized,descriptive,0.34347826086956523,0.7401205102120666,0.3700602551060333,0.4640842351080751,0.050160245347349204,True,
C6,False,TRAK_diffE5_normalized,descriptive,0.25304347826086954,0.7401205102120666,0.3700602551060333,0.341894968142911,0.11643178265247717,True,
C6,False,IF_diffE5_normalized,descriptive,0.12347826086956522,0.7401205102120666,0.3700602551060333,0.16683534527935864,0.2827024975710983,True,
C7,False,TracIn_diffE5_normalized,CHAMPION,0.4391304347826086,0.6686953214149868,0.3343476607074934,0.656697333926893,0.015901813266215818,True,True
C7,False,TracIn_diffE5_unnormalized,descriptive,0.43478260869565216,0.6686953214149868,0.3343476607074934,0.6501953801256367,0.0168686277877751,True,
C7,False,TRAK_diffE5_normalized,descriptive,0.07826086956521738,0.6686953214149868,0.3343476607074934,0.1170351684226146,0.3581196452505439,True,
C7,False,IF_diffE5_normalized,descriptive,0.22869565217391302,0.6686953214149868,0.3343476607074934,0.3420027699460849,0.14121160381815823,True,
C8,False,TracIn_diffE5_normalized,CHAMPION,0.1434782608695652,0.65290003012149,0.326450015060745,0.21975532891745636,0.2517963231087682,True,False
C8,False,TracIn_diffE5_unnormalized,descriptive,0.1452173913043478,0.65290003012149,0.326450015060745,0.22241902987403156,0.24918973462280572,True,
C8,False,TRAK_diffE5_normalized,descriptive,0.16695652173913042,0.65290003012149,0.326450015060745,0.25571529183122194,0.2177690526603073,True,
C8,False,IF_diffE5_normalized,descriptive,0.26347826086956516,0.65290003012149,0.326450015060745,0.4035506949211471,0.10675118329261908,True,
C9,False,TracIn_diffE5_normalized,CHAMPION,0.09130434782608696,0.6688494228924826,0.3344247114462413,0.13650957106494224,0.3356706347823206,True,False
C9,False,TracIn_diffE5_unnormalized,descriptive,0.10521739130434782,0.6688494228924826,0.3344247114462413,0.1573110295129334,0.3123136908229458,True,
C9,False,TRAK_diffE5_normalized,descriptive,-0.0608695652173913,0.6688494228924826,0.3344247114462413,-0.09100638070996148,0.6112359057734226,True,
C9,False,IF_diffE5_normalized,descriptive,-0.01826086956521739,0.6688494228924826,0.3344247114462413,-0.027301914212988443,0.5337463514992423,True,
