outcome,target,attributor,lds,ci_lo,ci_hi,p_onesided,ceiling
logit_success,C1,TracIn,-0.3695698354417943,-0.6468829935046552,-0.035125199395338515,0.9905378347327043,0.4645002164288264
logit_success,C2,TracIn,-0.35026765547343136,-0.604619987945912,-0.03540377989650674,0.9866460669478441,0.0784313725490196
logit_success,C3,TracIn,0.45763672152302726,0.14987381989869142,0.6808247529523853,0.0014932589296168372,0.5272727272727272
logit_success,C4,TracIn,-0.026340607283020866,-0.38835611358342886,0.3368043812373824,0.564086338159339,0.3797315473507341
logit_success,C5,TracIn,-0.30493839166010533,-0.5840618399300979,0.005504014560286558,0.9721446038855917,0.4545035461247888
logit_success,C6,TracIn,0.06656652074918613,-0.26938256732960536,0.4061416786861637,0.34159762821664,0.5619047619047619
logit_success,C7,TracIn,0.07372969431759324,-0.3229725519890225,0.42405445788764173,0.3255850769731032,0.11679208674433755
logit_success,C8,TracIn,0.34078317363139377,0.04402086750681576,0.6131667503123297,0.015705314952518055,-0.09466437177280555
logit_success,C9,TracIn,0.1248063273957273,-0.20313522202546613,0.4108062634032295,0.22144506818724016,0.3831770380787482
logit_success,C1,TRAK,0.49849610627912244,0.22141732287086222,0.7024649243006368,0.000530658125853806,0.4645002164288264
logit_success,C2,TRAK,-0.03559019877330576,-0.35327631942456317,0.29756586868080986,0.5862945871441314,0.0784313725490196
logit_success,C3,TRAK,-0.2024234677508464,-0.5276850240828289,0.1734783196504949,0.8948349385887631,0.5272727272727272
logit_success,C4,TRAK,0.2468491196808813,-0.1073718518946344,0.5473384454400498,0.062320932917425985,0.3797315473507341
logit_success,C5,TRAK,0.23051275030577453,-0.1125866742285033,0.5229700390144598,0.07621295746330103,0.4545035461247888
logit_success,C6,TRAK,-0.00798047145794192,-0.38377422525907245,0.34013979540230854,0.5194898101235197,0.5619047619047619
logit_success,C7,TRAK,-0.342537828250016,-0.59906560905894,-0.04787649637897139,0.9847536826450003,0.11679208674433755
logit_success,C8,TRAK,-0.3405953625684942,-0.5629797765730852,-0.07571303356016401,0.9842448889558623,-0.09466437177280555
logit_success,C9,TRAK,0.23505661209293116,-0.08211429701692953,0.5097879575516279,0.07214042558290196,0.3831770380787482
logit_success,C1,IF,-0.0015986481431324437,-0.3358283584794495,0.3409673642267953,0.5039056311079904,0.4645002164288264
logit_success,C2,IF,-0.12555170385200476,-0.4217737778195597,0.19471386301217056,0.7799253565303417,0.0784313725490196
logit_success,C3,IF,0.30480935167122813,0.012288208941194784,0.538003704160196,0.027909852398768205,0.5272727272727272
logit_success,C4,IF,-0.10141133803963033,-0.41160788415296323,0.2343230837848754,0.7332433650554561,0.3797315473507341
logit_success,C5,IF,0.13654098091899325,-0.20473720233845996,0.4487880668883572,0.2004198765557541,0.4545035461247888
logit_success,C6,IF,0.5922448700787957,0.3161075026040119,0.7865803644275623,2.8390792271747964e-05,0.5619047619047619
logit_success,C7,IF,-0.03972950407177317,-0.3342129126954343,0.27459398950747227,0.5961520907785876,0.11679208674433755
logit_success,C8,IF,0.14114001376907823,-0.14484878304961935,0.42255821058437887,0.19250500529828563,-0.09466437177280555
logit_success,C9,IF,-0.09297085336476302,-0.3979820986183761,0.21159074864583582,0.7158618885313606,0.3831770380787482
neg_plain_loss,C1,TracIn,-0.06590311678558017,-0.41721718238896005,0.2671784184624057,0.6569049213208671,0.5079365079365079
neg_plain_loss,C2,TracIn,-0.1121749741856754,-0.4131090194601659,0.2240782207523387,0.7546323773558025,0.27450980392156865
neg_plain_loss,C3,TracIn,0.19951178293118013,-0.1679621800957877,0.5212400960282384,0.10855205215609448,0.8424242424242424
neg_plain_loss,C4,TracIn,0.040270346381301045,-0.2875182136559838,0.36660951019186633,0.40256410789449504,0.27450980392156865
neg_plain_loss,C5,TracIn,0.469257486154135,0.17627291855203617,0.6758295785479406,0.0011268879132967718,0.5636363636363636
neg_plain_loss,C6,TracIn,-0.05303670327607246,-0.37723907740654117,0.2609445100264114,0.6274192431843182,0.12380952380952381
neg_plain_loss,C7,TracIn,0.6073608111914374,0.35397321792651926,0.7838354791603152,1.6209186372813395e-05,0.8431372549019609
neg_plain_loss,C8,TracIn,0.4726760563380281,0.15310684725333196,0.7076223845733313,0.001035388322253708,0.8253968253968255
neg_plain_loss,C9,TracIn,0.23390275952693823,-0.05720024960880655,0.522790710742633,0.07315908317580957,0.2380952380952381
neg_plain_loss,C1,TRAK,0.24915508824633864,-0.08628215971523844,0.5295829458117594,0.0605238095816466,0.5079365079365079
neg_plain_loss,C2,TRAK,0.11029756875997372,-0.20311252123017304,0.4059505280308383,0.24903344050177123,0.27450980392156865
neg_plain_loss,C3,TRAK,0.4047507276312083,0.09644314391835736,0.664241439057461,0.00479033580677226,0.8424242424242424
neg_plain_loss,C4,TRAK,0.11179949310053505,-0.22792368547392436,0.41782507369220984,0.24609855164994932,0.27450980392156865
neg_plain_loss,C5,TRAK,0.5681967520886135,0.2894182449102753,0.7513027937164894,6.550063804997361e-05,0.5636363636363636
neg_plain_loss,C6,TRAK,0.4732000375481085,0.18690308701883815,0.6914473050078445,0.0010219577849773123,0.12380952380952381
neg_plain_loss,C7,TRAK,-0.011172659844146088,-0.3089921839579612,0.3166444047243728,0.5272757299239972,0.8431372549019609
neg_plain_loss,C8,TRAK,0.6495774647887324,0.38521772416131567,0.8174161448089144,2.8776341041122245e-06,0.8253968253968255
neg_plain_loss,C9,TRAK,0.17308053313309552,-0.17983133185349612,0.49563242472648256,0.14275298838251435,0.2380952380952381
neg_plain_loss,C1,IF,0.003942921517085992,-0.31059506442946916,0.3054129038535567,0.49036786377333896,0.5079365079365079
neg_plain_loss,C2,IF,-0.18088801276635688,-0.47470253124511647,0.15851374246987945,0.8680036908788984,0.27450980392156865
neg_plain_loss,C3,IF,-0.1478734391136982,-0.4192859423853026,0.15961410677642865,0.8187462719297123,0.8424242424242424
neg_plain_loss,C4,IF,0.3141837979911762,-0.018980273467353224,0.5879581924093181,0.02416944443657206,0.27450980392156865
neg_plain_loss,C5,IF,0.36693889045339334,0.059707635469390286,0.6071112874957304,0.00992865602346068,0.5636363636363636
neg_plain_loss,C6,IF,-0.04834318971181826,-0.33881343884502946,0.2692692598187309,0.616471672237763,0.12380952380952381
neg_plain_loss,C7,IF,-0.3662566895127218,-0.6282710354858368,-0.07648201245005269,0.9899472861989059,0.8431372549019609
neg_plain_loss,C8,IF,0.5986854460093897,0.31488491346804204,0.8059971604439178,2.2437076690166657e-05,0.8253968253968255
neg_plain_loss,C9,IF,-0.030598836117889994,-0.384669452887538,0.32355238282924487,0.5743386971938935,0.2380952380952381
