target,attributor,functional,lds_conditional_success,intrusion_above_median,intrusion_above_p75,insider_advantage_auc
C1,TRAK,plain,0.49849610627912244,0.19166666666666668,0.03333333333333333,0.705
C1,TRAK,transport,0.3172846373487567,0.11666666666666667,0.025,0.6827777777777778
C1,TRAK,interaction,0.33439957629288053,0.26666666666666666,0.041666666666666664,0.6055555555555555
C2,TRAK,plain,-0.03559019877330576,0.55,0.10833333333333334,0.4577777777777778
C2,TRAK,transport,0.04028547565632763,0.39166666666666666,0.13333333333333333,0.5311111111111111
C2,TRAK,interaction,-0.09756785362919443,0.2,0.075,0.5255555555555556
C3,TRAK,plain,-0.2024234677508464,0.03333333333333333,0.008333333333333333,0.5883333333333334
C3,TRAK,transport,-0.3939508230844779,0.31666666666666665,0.025,0.5211111111111111
C3,TRAK,interaction,0.17461959468622895,0.475,0.0,0.5672222222222222
C4,IF,plain,-0.10141133803963033,0.15833333333333333,0.03333333333333333,0.7016666666666667
C4,IF,transport,-0.11476978887601949,0.19166666666666668,0.041666666666666664,0.7338888888888889
C4,IF,interaction,-0.21674556850028598,0.225,0.09166666666666666,0.5805555555555556
C5,TRAK,plain,0.23051275030577453,0.1,0.03333333333333333,0.6538888888888889
C5,TRAK,transport,0.39609100796528324,0.25833333333333336,0.0,0.6005555555555555
C5,TRAK,interaction,-0.06850541988296359,0.20833333333333334,0.058333333333333334,0.6427777777777778
C6,TRAK,plain,-0.00798047145794192,0.5666666666666667,0.15833333333333333,0.5088888888888888
C6,TRAK,transport,-0.031452446334241685,0.5583333333333333,0.4,0.45666666666666667
C6,TRAK,interaction,0.08769129813785592,0.325,0.03333333333333333,0.5872222222222222
C7,TracIn,plain,0.07372969431759324,0.35833333333333334,0.125,0.7211111111111111
C7,TracIn,transport,0.17234903066596635,0.23333333333333334,0.1,0.7583333333333333
C7,TracIn,interaction,0.005353621116054541,0.3416666666666667,0.2,0.6577777777777778
C8,TRAK,plain,-0.3405953625684942,0.7333333333333333,0.075,0.4872222222222222
C8,TRAK,transport,-0.34989201018202626,0.475,0.05,0.5322222222222223
C8,TRAK,interaction,-0.09606535867316503,0.5083333333333333,0.175,0.5077777777777778
C9,TracIn,plain,0.1248063273957273,0.38333333333333336,0.19166666666666668,0.5844444444444444
C9,TracIn,transport,0.17889846026249856,0.30833333333333335,0.21666666666666667,0.6
C9,TracIn,interaction,0.11785699088159352,0.4166666666666667,0.19166666666666668,0.5861111111111111
