target,attributor,outcome,lds,n_masks,p_onesided,partial_rho_ctrl_in_target_count,focal
C1,TracIn,logit_success,-0.336639959896993,24,0.9461376219068991,-0.29549006224841456,True
C1,TracIn,neg_plain_loss,0.4243478260869564,24,0.01938004881968357,0.4591304347826086,True
C1,TracIn,neg_transport_loss,0.33304347826086955,24,0.055888288492936214,0.4269565217391304,True
C1,TracIn,neg_interaction_loss,0.2843478260869565,24,0.08904749047656121,0.2617391304347826,True
C1,TRAK,logit_success,0.3331287217233607,24,0.05583963335418328,0.4231870950489832,True
C1,TRAK,neg_plain_loss,-0.2217391304347826,24,0.8511410712641203,-0.24086956521739128,True
C1,TRAK,neg_transport_loss,-0.20347826086956516,24,0.8298693016800567,-0.19391304347826085,True
C1,TRAK,neg_interaction_loss,-0.13478260869565215,24,0.7349730567273075,-0.1643478260869565,True
C1,IF,logit_success,-0.057935429864932296,24,0.605996122906955,-0.042710952950360814,True
C1,IF,neg_plain_loss,0.08782608695652173,24,0.3416076346074026,0.08956521739130434,True
C1,IF,neg_transport_loss,0.19826086956521738,24,0.17652471762120203,0.2208695652173913,True
C1,IF,neg_interaction_loss,-0.21043478260869564,24,0.8381766565152491,-0.2052173913043478,True
C2,TracIn,logit_success,-0.1317677787183516,24,0.7303106023576564,-0.2026086956521739,False
C2,TracIn,neg_plain_loss,0.44695652173913036,24,0.014273142291222188,0.4121739130434783,False
C2,TracIn,neg_transport_loss,0.468695652173913,24,0.01043881630485615,0.38,False
C2,TracIn,neg_interaction_loss,0.25999999999999995,24,0.1099159800849677,0.17304347826086955,False
C2,TRAK,logit_success,-0.18482279193168133,24,0.8063683467995854,-0.20869565217391303,False
C2,TRAK,neg_plain_loss,0.11304347826086956,24,0.29947021745279834,0.11391304347826085,False
C2,TRAK,neg_transport_loss,0.10086956521739131,24,0.319542965954539,0.11391304347826085,False
C2,TRAK,neg_interaction_loss,-0.042608695652173914,24,0.5783543120111561,-0.06608695652173913,False
C2,IF,logit_success,0.014785823354534504,24,0.47266512853243114,0.010434782608695651,False
C2,IF,neg_plain_loss,0.18608695652173912,24,0.19198351698587418,0.19130434782608693,False
C2,IF,neg_transport_loss,0.2573913043478261,24,0.11233024494386987,0.23043478260869563,False
C2,IF,neg_interaction_loss,0.041739130434782605,24,0.4232260566998609,0.042608695652173914,False
C3,TracIn,logit_success,-0.4190602109301123,24,0.979239322033024,-0.42791912296652795,False
C3,TracIn,neg_plain_loss,-0.21739130434782608,24,0.8462333947255465,-0.2756521739130435,False
C3,TracIn,neg_transport_loss,-0.21043478260869564,24,0.8381766565152491,-0.2643478260869565,False
C3,TracIn,neg_interaction_loss,-0.08,24,0.6449019739021205,-0.09043478260869564,False
C3,TRAK,logit_success,0.021322897544730535,24,0.46061088075500684,0.03826918985879519,False
C3,TRAK,neg_plain_loss,-0.23304347826086955,24,0.8634397620350849,-0.17043478260869566,False
C3,TRAK,neg_transport_loss,-0.1026086956521739,24,0.6833565917180124,-0.050434782608695654,False
C3,TRAK,neg_interaction_loss,-0.29913043478260865,24,0.9221902227686025,-0.2539130434782608,False
C3,IF,logit_success,0.14316802637176215,24,0.2522627013657982,0.1417699533405367,False
C3,IF,neg_plain_loss,-0.041739130434782605,24,0.5767739433001391,0.021739130434782605,False
C3,IF,neg_transport_loss,-0.02434782608695652,24,0.5449562899605231,-0.0017391304347826085,False
C3,IF,neg_interaction_loss,0.0626086956521739,24,0.3856671502556307,0.08695652173913042,False
C4,TracIn,logit_success,-0.4553668095930369,24,0.987325373177304,-0.4995843168776003,False
C4,TracIn,neg_plain_loss,0.18608695652173912,24,0.19198351698587418,-0.1973913043478261,False
C4,TracIn,neg_transport_loss,0.23217391304347823,24,0.1374826205915888,-0.18869565217391301,False
C4,TracIn,neg_interaction_loss,-0.12347826086956522,24,0.7172975024289017,-0.25217391304347825,False
C4,TRAK,logit_success,-0.11271007513783914,24,0.6999871974626062,-0.1413586555664212,False
C4,TRAK,neg_plain_loss,-0.01217391304347826,24,0.5225114576751078,0.006956521739130434,False
C4,TRAK,neg_transport_loss,-0.034782608695652174,24,0.5640915640106713,-0.05913043478260869,False
C4,TRAK,neg_interaction_loss,0.025217391304347827,24,0.4534448086994876,0.029565217391304344,False
C4,IF,logit_success,0.13172141311289637,24,0.2697613994030303,0.11326252526750517,False
C4,IF,neg_plain_loss,-0.0008695652173913043,24,0.5016087516373653,-0.2078260869565217,False
C4,IF,neg_transport_loss,0.03217391304347826,24,0.4406808560142436,-0.15130434782608695,False
C4,IF,neg_interaction_loss,-0.18,24,0.8000074622746924,-0.20173913043478262,False
C5,TracIn,logit_success,-0.23818882441728084,24,0.8688169337693957,-0.2492930702703575,True
C5,TracIn,neg_plain_loss,0.2078260869565217,24,0.16490930890275887,0.29304347826086957,True
C5,TracIn,neg_transport_loss,0.23652173913043475,24,0.132910147079809,0.2252173913043478,True
C5,TracIn,neg_interaction_loss,0.11652173913043477,24,0.29383451647555753,0.19999999999999998,True
C5,TRAK,logit_success,-0.2229482232205627,24,0.8524883514108749,-0.20056562896096827,True
C5,TRAK,neg_plain_loss,0.16173913043478258,24,0.22510944242318542,0.11130434782608695,True
C5,TRAK,neg_transport_loss,0.19043478260869565,24,0.1863763889213566,0.17043478260869566,True
C5,TRAK,neg_interaction_loss,0.05913043478260869,24,0.39186762641272355,-0.06956521739130435,True
C5,IF,logit_success,-0.1197475808313569,24,0.7113509995461986,-0.10050034770061533,True
C5,IF,neg_plain_loss,0.3608695652173913,24,0.04159729639177143,0.46956521739130425,True
C5,IF,neg_transport_loss,0.2269565217391304,24,0.14309976860169907,0.2252173913043478,True
C5,IF,neg_interaction_loss,0.3921739130434782,24,0.02901816943512534,0.4669565217391304,True
C6,TracIn,logit_success,-0.036988699822491734,24,0.568120712745833,0.0039164505694403015,False
C6,TracIn,neg_plain_loss,0.04608695652173912,24,0.4153361719661177,0.08608695652173912,False
C6,TracIn,neg_transport_loss,0.007826086956521738,24,0.48552415425604806,0.04,False
C6,TracIn,neg_interaction_loss,0.054782608695652164,24,0.399654121744132,0.08,False
C6,TRAK,logit_success,-0.40469989217549784,24,0.975097135099656,-0.42602278972022833,False
C6,TRAK,neg_plain_loss,0.13565217391304346,24,0.26368927095292805,0.12956521739130433,False
C6,TRAK,neg_transport_loss,0.06608695652173913,24,0.37949372627591177,-0.00608695652173913,False
C6,TRAK,neg_interaction_loss,0.10173913043478258,24,0.31809189110284275,0.17217391304347823,False
C6,IF,logit_success,0.4107921486168494,24,0.02307337175521975,0.4007834416060575,False
C6,IF,neg_plain_loss,-0.19217391304347822,24,0.8158397556221862,-0.12869565217391304,False
C6,IF,neg_transport_loss,0.041739130434782605,24,0.4232260566998609,0.15739130434782608,False
C6,IF,neg_interaction_loss,-0.6,24,0.999030303561737,-0.6182608695652172,False
C7,TracIn,logit_success,0.05612357079385012,24,0.3972484935984323,0.06479669646546002,False
C7,TracIn,neg_plain_loss,0.44,24,0.015713857575089297,0.44,False
C7,TracIn,neg_transport_loss,0.3608695652173913,24,0.04159729639177143,0.3608695652173913,False
C7,TracIn,neg_interaction_loss,0.3347826086956522,24,0.054901767960934815,0.3347826086956522,False
C7,TRAK,logit_success,0.003915597962361636,24,0.4927562436187753,0.005218525889835707,False
C7,TRAK,neg_plain_loss,0.3739130434782608,24,0.03593503688402976,0.39652173913043476,False
C7,TRAK,neg_transport_loss,0.34434782608695647,24,0.04970335049650835,0.3652173913043478,False
C7,TRAK,neg_interaction_loss,0.2965217391304348,24,0.07971622663888173,0.3078260869565217,False
C7,IF,logit_success,0.03175985013915549,24,0.44143910869750425,-0.010437051779671414,False
